timestamp,x,y,z
2024-07-24 20:05:09.610,-0.2395,0.4718,9.8028
2024-07-24 20:05:19.536,-0.2563,0.4742,9.7214
2024-07-24 20:05:29.559,-0.2203,0.4862,9.7286
2024-07-24 20:05:39.566,-0.2419,0.4934,9.7669
2024-07-24 20:05:49.572,-0.2132,0.4766,9.7262
2024-07-24 20:05:59.581,-0.2323,0.4718,9.6998
2024-07-24 20:06:09.586,-0.2251,0.4814,9.7429
2024-07-24 20:06:19.592,-0.2419,0.4598,9.7094
2024-07-24 20:06:29.599,-0.2443,0.4287,9.7118
2024-07-24 20:06:39.605,-0.2587,0.4718,9.7405
2024-07-24 20:06:49.610,-0.2539,0.4862,9.7501
2024-07-24 20:06:59.616,-0.2443,0.5125,9.7118
2024-07-24 20:07:09.621,-0.1988,0.4527,9.7334
2024-07-24 20:07:19.627,-0.2635,0.4479,9.7166
2024-07-24 20:07:29.633,-0.2251,0.4551,9.7214
2024-07-24 20:07:39.560,-0.2539,0.4646,9.7381
2024-07-24 20:07:49.568,-0.2179,0.4718,9.7381
2024-07-24 20:07:59.565,-0.2251,0.4718,9.7837
2024-07-24 20:08:09.572,-0.2203,0.4622,9.7142
2024-07-24 20:08:19.583,-0.2036,0.4814,9.7358
2024-07-24 20:08:29.591,-0.2491,0.4982,9.7429
2024-07-24 20:08:39.596,-0.2132,0.4718,9.7358
2024-07-24 20:08:49.604,-0.2658,0.4766,9.7286
2024-07-24 20:08:59.608,-0.2347,0.4407,9.7142
2024-07-24 20:09:09.614,-0.2275,0.467,9.731
2024-07-24 20:09:19.621,-0.2132,0.4742,9.7238
2024-07-24 20:09:29.627,-0.2299,0.4574,9.7549
2024-07-24 20:09:39.632,-0.2395,0.4191,9.7238
2024-07-24 20:09:49.639,-0.2587,0.4503,9.731
2024-07-24 20:09:59.645,-0.2227,0.4622,9.7453
2024-07-24 20:10:09.650,-0.2275,0.4527,9.7214
2024-07-24 20:10:19.656,-0.2587,0.4407,9.7717
2024-07-24 20:10:29.662,-0.2467,0.4742,9.7621
2024-07-24 20:10:39.664,-0.2132,0.4527,9.7405
2024-07-24 20:10:49.672,-0.2395,0.4742,9.7429
2024-07-24 20:10:59.599,-0.2419,0.4503,9.7405
