timestamp,latitude,longitude
2022-10-13 00:13:49.448,43.664527,-79.387154
2022-10-13 00:14:49.576,43.6646,-79.387008
2022-10-13 00:15:49.599,43.664602,-79.38695
2022-10-13 00:16:49.635,43.664602,-79.386984
2022-10-13 00:17:49.644,43.664582,-79.387
2022-10-13 00:18:49.351,43.664614,-79.387004
2022-10-13 00:19:59.709,43.664585,-79.38702
2022-10-13 00:20:59.748,43.664586,-79.387001
2022-10-13 00:21:59.743,43.6646,-79.387008
2022-10-13 00:22:59.836,43.664604,-79.387044
2022-10-13 00:23:59.757,43.664617,-79.38696
2022-10-13 00:24:59.930,43.664612,-79.386971
2022-10-13 00:25:59.824,43.664584,-79.386953
2022-10-13 00:26:59.821,43.664582,-79.386958
2022-10-13 00:27:59.864,43.664577,-79.386991
2022-10-13 00:28:59.891,43.664587,-79.387077
2022-10-13 00:29:59.909,43.664576,-79.38702
2022-10-13 00:30:59.912,43.664594,-79.387003
2022-10-13 00:31:59.921,43.664572,-79.386988
2022-10-13 00:32:59.970,43.664581,-79.387066
2022-10-13 00:34:00.030,43.664589,-79.387083
2022-10-13 00:35:00.005,43.664572,-79.38704
2022-10-13 00:36:00.041,43.664577,-79.387038
2022-10-13 00:37:00.048,43.664576,-79.387032
2022-10-13 00:38:00.088,43.664582,-79.387024
2022-10-13 00:39:00.088,43.664598,-79.387022
2022-10-13 00:40:00.108,43.664586,-79.387051
2022-10-13 00:41:00.132,43.664596,-79.387021
2022-10-13 00:42:09.658,43.664583,-79.387013
2022-10-13 00:43:10.154,43.664587,-79.387011
2022-10-13 00:44:10.190,43.664531,-79.38727
2022-10-13 00:45:10.187,43.664592,-79.38702
2022-10-13 00:46:10.261,43.664573,-79.387039
2022-10-13 00:47:10.224,43.664554,-79.387066
2022-10-13 00:48:10.307,43.664581,-79.387026
2022-10-13 00:49:10.291,43.664613,-79.387002
2022-10-13 00:50:10.330,43.664595,-79.387033
2022-10-13 00:51:10.311,43.664583,-79.387035
2022-10-13 00:52:10.323,43.66458,-79.387031
2022-10-13 00:53:10.404,43.664579,-79.387042
2022-10-13 00:54:10.377,43.664577,-79.387018
2022-10-13 00:55:10.417,43.664597,-79.387044
2022-10-13 00:56:10.427,43.664605,-79.387048
2022-10-13 00:57:10.446,43.66457,-79.38703
2022-10-13 00:58:10.436,43.664568,-79.387095
2022-10-13 00:59:10.526,43.664574,-79.387034
2022-10-13 01:00:10.520,43.664565,-79.387057
2022-10-13 01:01:10.490,43.664582,-79.387218
2022-10-13 01:02:10.561,43.664565,-79.386999
2022-10-13 01:03:10.558,43.664586,-79.387065
2022-10-13 01:04:10.571,43.664582,-79.387113
2022-10-13 01:05:10.564,43.664583,-79.387104
2022-10-13 01:06:10.669,43.664572,-79.387098
2022-10-13 01:07:10.645,43.664572,-79.38711
2022-10-13 01:08:10.683,43.664577,-79.387124
2022-10-13 01:09:10.688,43.664568,-79.387035
2022-10-13 01:10:10.701,43.664589,-79.387034
2022-10-13 01:11:10.730,43.664575,-79.387093
2022-10-13 01:12:10.697,43.664561,-79.386992
2022-10-13 01:13:10.727,43.66457,-79.386973
2022-10-13 01:14:10.778,43.664573,-79.387039
2022-10-13 01:15:10.711,43.664578,-79.387084
2022-10-13 01:16:10.780,43.664583,-79.386987
2022-10-13 01:17:10.823,43.664578,-79.38706
2022-10-13 01:18:10.848,43.664556,-79.387038
2022-10-13 01:19:10.827,43.66459,-79.386987
2022-10-13 01:20:10.884,43.664534,-79.387073
2022-10-13 01:21:10.899,43.664572,-79.387003
2022-10-13 01:22:10.866,43.664567,-79.387099
2022-10-13 01:23:10.934,43.66457,-79.387072
2022-10-13 01:24:10.931,43.664579,-79.387021
2022-10-13 01:25:10.936,43.664587,-79.387048
2022-10-13 01:26:10.983,43.664568,-79.387136
2022-10-13 01:27:10.968,43.664575,-79.387162
2022-10-13 01:28:12.304,43.664573,-79.387016
2022-10-13 01:29:21.017,43.664602,-79.386982
2022-10-13 01:30:21.105,43.664561,-79.387026
2022-10-13 01:31:21.113,43.664575,-79.38699
2022-10-13 01:32:21.115,43.664563,-79.387075
2022-10-13 01:33:21.103,43.66456,-79.387013
