timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2024-07-25,10,2,2,1.25,0.3333
2024-07-26,9,2,1,1.2857,0.2917
2024-07-27,3,1,5,1.0,0.125
2024-07-28,4,1,3,1.0,0.1667
2024-07-29,7,2,3,1.1667,0.25
2024-07-30,7,2,11,1.4,0.2083
2024-07-31,9,2,2,1.2857,0.2917
2024-08-01,5,1,2,1.0,0.2083
2024-08-02,6,2,2,1.5,0.1667
2024-08-03,5,2,12,1.25,0.1667
2024-08-04,7,2,2,1.1667,0.25
2024-08-05,4,2,12,1.3333,0.125
2024-08-06,4,1,2,1.0,0.1667
2024-08-07,13,2,1,1.625,0.3333
2024-08-08,2,2,11,2.0,0.0417
2024-08-09,6,2,1,1.5,0.1667
2024-08-10,4,1,1,1.0,0.1667
2024-08-11,4,2,11,1.3333,0.125
2024-08-12,9,2,11,1.125,0.3333
2024-08-13,7,2,1,1.4,0.2083
2024-08-14,4,1,1,1.0,0.1667
2024-08-15,7,2,4,1.1667,0.25
2024-08-16,4,2,11,1.3333,0.125
2024-08-17,5,2,11,1.25,0.1667
2024-08-18,5,2,10,1.25,0.1667
2024-08-19,11,2,1,1.5714,0.2917
2024-08-20,4,2,3,1.3333,0.125
2024-08-21,9,2,2,1.8,0.2083
2024-08-22,6,2,1,1.2,0.2083
2024-08-23,0,0,0,0.0,0.0
2024-08-24,0,0,0,0.0,0.0
2024-08-25,0,0,0,0.0,0.0
2024-08-26,5,2,11,1.6667,0.125
2024-08-27,5,1,1,1.0,0.2083
2024-08-28,5,1,4,1.0,0.2083
2024-08-29,5,1,5,1.0,0.2083
2024-08-30,7,2,4,1.4,0.2083
2024-08-31,4,2,12,1.3333,0.125
2024-09-01,6,2,12,1.2,0.2083
2024-09-02,7,2,4,1.4,0.2083
2024-09-03,10,2,2,1.4286,0.2917
2024-09-04,8,2,2,1.6,0.2083
2024-09-05,10,2,2,1.4286,0.2917
2024-09-06,9,2,3,1.8,0.2083
2024-09-07,4,2,4,1.3333,0.125
2024-09-08,7,2,11,1.1667,0.25
2024-09-09,12,2,2,1.5,0.3333
2024-09-10,3,1,2,1.0,0.125
2024-09-11,8,2,3,1.1429,0.2917
2024-09-12,5,2,11,1.25,0.1667
2024-09-13,5,1,1,1.0,0.2083
2024-09-14,1,1,2,1.0,0.0417
2024-09-15,7,2,11,1.1667,0.25
2024-09-16,8,2,2,1.3333,0.25
2024-09-17,4,1,4,1.0,0.1667
2024-09-18,5,2,10,1.25,0.1667
2024-09-19,5,2,10,1.25,0.1667
2024-09-20,7,2,4,1.4,0.2083
