timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2023-03-01,73,15,12,6.0833,0.5
2023-03-02,49,12,17,3.0625,0.6667
2023-03-03,44,10,6,3.3846,0.5417
2023-03-04,50,12,12,3.125,0.6667
2023-03-05,52,9,11,3.0588,0.7083
2023-03-06,57,9,7,3.8,0.625
2023-03-07,56,7,8,3.7333,0.625
2023-03-08,77,15,12,4.0526,0.7917
2023-03-09,91,18,12,5.6875,0.6667
2023-03-10,54,12,6,3.8571,0.5833
2023-03-11,35,7,17,2.6923,0.5417
2023-03-12,59,12,11,3.9333,0.625
2023-03-13,46,11,8,3.8333,0.5
2023-03-14,34,8,16,3.0909,0.4583
2023-03-15,31,7,17,2.8182,0.4583
2023-03-16,65,11,9,4.0625,0.6667
2023-03-17,55,16,6,5.0,0.4583
2023-03-18,47,9,7,3.9167,0.5
2023-03-19,50,14,7,4.5455,0.4583
2023-03-20,63,13,17,4.5,0.5833
2023-03-21,89,18,14,5.9333,0.625
2023-03-22,49,12,16,4.0833,0.5
2023-03-23,59,16,7,5.3636,0.4583
2023-03-24,48,11,11,3.4286,0.5833
2023-03-25,44,11,11,3.1429,0.5833
2023-03-26,49,11,17,3.5,0.5833
2023-03-27,43,9,12,3.3077,0.5417
2023-03-28,67,16,6,5.1538,0.5417
2023-03-29,48,10,6,4.8,0.4167
2023-03-30,55,11,13,4.5833,0.5
2023-03-31,90,26,9,6.4286,0.5833
2023-04-01,40,5,12,2.8571,0.5833
2023-04-02,35,9,12,3.5,0.4167
2023-04-03,82,16,11,5.8571,0.5833
2023-04-04,24,6,8,2.6667,0.375
2023-04-05,47,11,11,3.6154,0.5417
2023-04-06,40,8,12,3.3333,0.5
2023-04-07,29,7,6,2.9,0.4167
2023-04-08,38,10,12,3.4545,0.4583
2023-04-09,61,14,7,4.3571,0.5833
2023-04-10,47,6,6,3.9167,0.5
2023-04-11,37,7,12,2.8462,0.5417
2023-04-12,30,5,12,2.5,0.5
2023-04-13,34,11,10,3.4,0.4167
2023-04-14,42,8,16,3.2308,0.5417
2023-04-15,34,9,17,3.0909,0.4583
2023-04-16,33,4,7,2.5385,0.5417
2023-04-17,85,18,12,5.6667,0.625
2023-04-18,110,18,15,7.8571,0.5833
2023-04-19,21,11,16,10.5,0.0833
2023-04-20,64,12,8,4.9231,0.5417
2023-04-21,45,10,16,3.75,0.5
2023-04-22,38,9,17,2.9231,0.5417
2023-04-23,38,5,7,3.1667,0.5
2023-04-24,58,10,12,3.8667,0.625
2023-04-25,51,10,12,3.6429,0.5833
2023-04-26,46,7,7,4.1818,0.4583
2023-04-27,49,10,17,3.7692,0.5417
