timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2023-03-01,102.0,79.59,0.0,14.11
2023-03-02,123.0,78.86,66.0,10.21
2023-03-03,117.0,81.32,61.0,14.19
2023-03-04,93.0,73.63,55.0,9.31
2023-03-05,106.0,76.64,61.0,10.44
2023-03-06,105.0,79.96,55.0,9.62
2023-03-07,121.0,84.52,65.0,11.6
2023-03-08,0.0,0.0,0.0,0.0
2023-03-09,0.0,0.0,0.0,0.0
2023-03-10,114.0,79.66,70.0,10.04
2023-03-11,104.0,74.43,58.0,11.46
2023-03-12,115.0,72.25,0.0,10.85
2023-03-13,106.0,82.14,62.0,9.84
2023-03-14,116.0,77.52,63.0,10.07
2023-03-15,105.0,79.3,55.0,10.2
2023-03-16,120.0,75.02,58.0,12.62
2023-03-17,115.0,79.79,67.0,9.84
2023-03-18,91.0,71.7,59.0,8.46
2023-03-19,119.0,75.96,59.0,12.58
2023-03-20,98.0,78.39,65.0,7.9
2023-03-21,103.0,86.14,72.0,8.04
2023-03-22,122.0,82.29,66.0,10.94
2023-03-23,116.0,79.17,63.0,11.71
2023-03-24,0.0,0.0,0.0,0.0
2023-03-25,92.0,74.77,55.0,7.54
2023-03-26,118.0,82.13,70.0,8.98
2023-03-27,110.0,83.39,71.0,7.51
2023-03-28,99.0,80.66,71.0,6.95
2023-03-29,116.0,81.7,63.0,10.66
2023-03-30,0.0,0.0,0.0,0.0
2023-03-31,115.0,81.05,65.0,10.22
2023-04-01,117.0,72.2,50.0,11.41
2023-04-02,112.0,72.33,50.0,14.22
2023-04-03,110.0,77.25,54.0,10.83
2023-04-04,122.0,73.18,51.0,11.47
2023-04-05,101.0,73.59,55.0,8.25
2023-04-06,0.0,0.0,0.0,0.0
2023-04-07,0.0,0.0,0.0,0.0
2023-04-08,87.0,65.76,52.0,8.43
2023-04-09,103.0,73.05,52.0,11.65
2023-04-10,119.0,68.23,55.0,13.09
2023-04-11,105.0,67.09,53.0,9.78
2023-04-12,0.0,0.0,0.0,0.0
2023-04-13,108.0,73.99,53.0,11.68
2023-04-14,110.0,79.41,55.0,11.23
2023-04-15,114.0,65.76,0.0,25.66
2023-04-16,121.0,81.04,64.0,14.04
2023-04-17,104.0,73.42,55.0,13.4
2023-04-18,112.0,77.89,57.0,14.97
2023-04-19,109.0,77.24,63.0,10.59
2023-04-20,100.0,67.94,52.0,11.04
2023-04-21,93.0,69.38,49.0,9.84
2023-04-22,89.0,64.15,52.0,8.87
2023-04-23,127.0,68.87,54.0,11.14
2023-04-24,118.0,73.92,60.0,15.03
2023-04-25,110.0,66.03,50.0,11.07
2023-04-26,121.0,73.66,60.0,15.37
2023-04-27,84.0,69.45,60.0,5.19
