timestamp,position-count,position-duration,position-travelled-distance
2023-03-01,42.0,99.0,28.74
2023-03-02,3.0,2.0,1.16
2023-03-03,46.0,132.0,9.11
2023-03-04,0.0,0.0,0.0
2023-03-05,0.0,0.0,0.0
2023-03-06,0.0,0.0,0.0
2023-03-07,0.0,0.0,0.0
2023-03-08,0.0,0.0,0.0
2023-03-09,0.0,0.0,0.0
2023-03-10,26.0,24.0,11.84
2023-03-11,25.0,24.0,8.95
2023-03-12,0.0,0.0,0.0
2023-03-13,0.0,0.0,0.0
2023-03-14,12.0,15.0,3.2
2023-03-15,12.0,12.0,2.21
2023-03-16,0.0,0.0,0.0
2023-03-17,101.0,100.0,6.98
2023-03-18,0.0,0.0,0.0
2023-03-19,53.0,63.0,8.47
2023-03-20,6.0,5.0,2.64
2023-03-21,0.0,0.0,0.0
2023-03-22,6.0,5.0,7.13
2023-03-23,60.0,59.0,6.67
2023-03-24,25.0,26.0,1.64
2023-03-25,0.0,0.0,0.0
2023-03-26,0.0,0.0,0.0
2023-03-27,0.0,0.0,0.0
2023-03-28,0.0,0.0,0.0
2023-03-29,69.0,71.0,9.59
2023-03-30,10.0,9.0,3.77
2023-03-31,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-04-02,0.0,0.0,0.0
2023-04-03,0.0,0.0,0.0
2023-04-04,39.0,38.0,10.96
2023-04-05,0.0,0.0,0.0
2023-04-06,0.0,0.0,0.0
2023-04-07,0.0,0.0,0.0
2023-04-08,0.0,0.0,0.0
2023-04-09,0.0,0.0,0.0
2023-04-10,59.0,74.0,8.76
2023-04-11,0.0,0.0,0.0
2023-04-12,0.0,0.0,0.0
2023-04-13,12.0,11.0,6.65
2023-04-14,0.0,0.0,0.0
2023-04-15,0.0,0.0,0.0
2023-04-16,0.0,0.0,0.0
2023-04-17,0.0,0.0,0.0
2023-04-18,0.0,0.0,0.0
2023-04-19,0.0,0.0,0.0
2023-04-20,0.0,0.0,0.0
2023-04-21,0.0,0.0,0.0
2023-04-22,0.0,0.0,0.0
2023-04-23,0.0,0.0,0.0
2023-04-24,0.0,0.0,0.0
2023-04-25,0.0,0.0,0.0
2023-04-26,45.0,44.0,6.92
2023-04-27,0.0,0.0,0.0
