timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2023-03-01,1733,551,16,157.5455,0.4583
2023-03-02,2124,296,11,151.7143,0.5833
2023-03-03,2142,353,7,142.8,0.625
2023-03-04,1346,317,14,96.1429,0.5833
2023-03-05,2361,509,18,168.6429,0.5833
2023-03-06,1815,348,10,129.6429,0.5833
2023-03-07,1986,351,8,132.4,0.625
2023-03-08,0,0,0,0.0,0.0
2023-03-09,0,0,0,0.0,0.0
2023-03-10,1600,344,16,160.0,0.4167
2023-03-11,1578,300,17,112.7143,0.5833
2023-03-12,3341,543,11,238.6429,0.5833
2023-03-13,1986,398,6,152.7692,0.5417
2023-03-14,2252,506,13,160.8571,0.5833
2023-03-15,2441,577,13,174.3571,0.5833
2023-03-16,1999,759,13,166.5833,0.5
2023-03-17,2018,433,9,144.1429,0.5833
2023-03-18,1591,262,18,113.6429,0.5833
2023-03-19,1711,302,10,122.2143,0.5833
2023-03-20,2885,476,9,221.9231,0.5417
2023-03-21,3533,680,12,271.7692,0.5417
2023-03-22,2110,582,9,162.3077,0.5417
2023-03-23,2476,397,16,176.8571,0.5833
2023-03-24,0,0,0,0.0,0.0
2023-03-25,1547,254,19,119.0,0.5417
2023-03-26,3656,1006,13,261.1429,0.5833
2023-03-27,5616,2318,9,432.0,0.5417
2023-03-28,3450,1531,11,246.4286,0.5833
2023-03-29,2763,511,15,197.3571,0.5833
2023-03-30,0,0,0,0.0,0.0
2023-03-31,3710,851,12,265.0,0.5833
2023-04-01,2699,1305,13,192.7857,0.5833
2023-04-02,2765,754,16,197.5,0.5833
2023-04-03,3459,844,12,266.0769,0.5417
2023-04-04,2027,295,11,144.7857,0.5833
2023-04-05,4453,1517,8,342.5385,0.5417
2023-04-06,0,0,0,0.0,0.0
2023-04-07,0,0,0,0.0,0.0
2023-04-08,3057,1168,12,254.75,0.5
2023-04-09,5436,1173,16,418.1538,0.5417
2023-04-10,4483,1355,13,344.8462,0.5417
2023-04-11,5930,1557,11,494.1667,0.5
2023-04-12,0,0,0,0.0,0.0
2023-04-13,4083,1503,18,371.1818,0.4583
2023-04-14,11564,2030,12,1051.2727,0.4583
2023-04-15,7716,2283,15,643.0,0.5
2023-04-16,9624,2949,10,962.4,0.4167
2023-04-17,9004,2398,12,692.6154,0.5417
2023-04-18,9717,1841,18,747.4615,0.5417
2023-04-19,10470,2140,16,951.8182,0.4583
2023-04-20,3726,2064,13,286.6154,0.5417
2023-04-21,6919,1983,11,576.5833,0.5
2023-04-22,1299,237,12,92.7857,0.5833
2023-04-23,4440,1152,12,341.5385,0.5417
2023-04-24,4417,1342,13,368.0833,0.5
2023-04-25,4921,1279,12,378.5385,0.5417
2023-04-26,2503,901,14,227.5455,0.4583
2023-04-27,2093,1418,16,261.625,0.3333
