timestamp,step
2024-10-20 12:55:33.322,1
2024-10-20 12:55:33.718,1
2024-10-20 12:55:34.191,1
2024-10-20 12:55:34.819,1
2024-10-20 12:55:35.364,1
2024-10-20 12:55:35.635,1
2024-10-20 12:55:36.867,1
2024-10-20 12:55:37.166,1
2024-10-20 12:55:37.870,1
2024-10-20 12:55:38.182,1
2024-10-20 12:55:38.574,1
2024-10-20 12:55:39.197,1
2024-10-20 12:55:40.447,1
2024-10-20 13:40:03.888,1
2024-10-20 13:40:04.588,1
2024-10-20 13:40:05.135,1
2024-10-20 13:40:05.602,1
2024-10-20 13:40:06.226,1
2024-10-20 13:40:06.695,1
2024-10-20 13:40:07.316,1
2024-10-20 13:40:07.698,1
2024-10-20 13:40:08.408,1
2024-10-20 13:40:08.876,1
2024-10-20 13:40:10.044,1
2024-10-20 13:40:11.212,1
2024-10-20 13:40:12.460,1
2024-10-20 13:40:12.929,1
2024-10-20 13:40:13.703,1
2024-10-20 13:40:19.163,1
2024-10-20 13:40:19.629,1
2024-10-20 13:40:20.331,1
2024-10-20 13:40:20.800,1
2024-10-20 13:40:43.708,1
2024-10-20 13:40:44.099,1
2024-10-20 13:40:44.645,1
2024-10-20 13:40:45.268,1
2024-10-20 13:41:08.180,1
2024-10-20 13:41:09.347,1
2024-10-20 13:41:09.893,1
2024-10-20 13:41:10.439,1
2024-10-20 13:41:10.987,1
2024-10-20 13:41:11.607,1
2024-10-20 13:41:12.152,1
2024-10-20 13:41:12.698,1
2024-10-20 13:41:13.243,1
2024-10-20 13:41:13.784,1
2024-10-20 13:41:14.335,1
2024-10-20 13:42:04.131,1
2024-10-20 13:42:04.832,1
2024-10-20 13:42:05.300,1
2024-10-20 13:42:06.001,1
2024-10-20 13:42:07.091,1
2024-10-20 13:42:07.564,1
2024-10-20 13:42:08.183,1
2024-10-20 13:42:08.650,1
2024-10-20 13:42:09.118,1
2024-10-20 13:42:09.663,1
2024-10-20 13:42:10.287,1
2024-10-20 13:42:10.754,1
2024-10-20 13:42:11.222,1
2024-10-20 13:42:11.768,1
2024-10-20 13:42:12.313,1
2024-10-20 13:42:12.781,1
2024-10-20 13:42:13.325,1
2024-10-20 13:42:13.871,1
2024-10-20 13:42:14.417,1
2024-10-20 13:42:14.884,1
2024-10-20 13:42:15.430,1
2024-10-20 13:42:15.897,1
2024-10-20 13:42:16.442,1
2024-10-20 13:42:16.988,1
2024-10-20 13:42:17.533,1
2024-10-20 13:42:18.001,1
2024-10-20 13:42:18.546,1
2024-10-20 13:42:19.014,1
2024-10-20 13:42:19.560,1
2024-10-20 13:42:20.027,1
2024-10-20 13:42:20.573,1
2024-10-20 13:42:21.116,1
2024-10-20 13:42:21.585,1
2024-10-20 13:42:22.131,1
2024-10-20 13:42:22.676,1
2024-10-20 13:42:23.222,1
2024-10-20 13:42:23.767,1
2024-10-20 13:42:24.313,1
2024-10-20 13:42:24.858,1
2024-10-20 13:42:25.404,1
2024-10-20 13:42:25.949,1
2024-10-20 13:42:26.573,1
2024-10-20 13:42:27.117,1
2024-10-20 13:42:27.820,1
2024-10-20 13:42:28.521,1
2024-10-20 13:58:09.298,1
2024-10-20 13:58:09.767,1
2024-10-20 13:58:10.312,1
2024-10-20 13:58:10.935,1
2024-10-20 13:58:11.559,1
2024-10-20 13:58:12.186,1
2024-10-20 13:58:12.805,1
2024-10-20 13:58:13.506,1
2024-10-20 13:58:14.123,1
2024-10-20 13:58:14.675,1
2024-10-20 13:58:15.143,1
2024-10-20 13:58:15.999,1
2024-10-20 13:58:16.855,1
2024-10-20 13:58:30.802,1
2024-10-20 13:58:31.425,1
