timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2022-10-13,42,12,18,6.0,0.2917
2022-10-14,49,8,9,4.0833,0.5
2022-10-15,63,17,12,5.25,0.5
2022-10-16,39,8,13,3.9,0.4167
2022-10-17,61,14,15,4.3571,0.5833
2022-10-18,39,6,12,2.7857,0.5833
2022-10-19,39,11,11,3.9,0.4167
2022-10-20,54,11,22,4.5,0.5
2022-10-21,55,9,10,4.2308,0.5417
2022-10-22,54,8,12,3.6,0.625
2022-10-23,64,12,14,5.3333,0.5
2022-10-24,174,21,22,10.2353,0.7083
2022-10-25,116,18,22,6.4444,0.75
2022-10-26,58,15,15,5.2727,0.4583
2022-10-27,70,12,16,4.375,0.6667
2022-10-28,49,9,10,4.4545,0.4583
2022-10-29,54,13,12,4.1538,0.5417
2022-10-30,59,15,13,5.3636,0.4583
2022-10-31,44,7,19,3.3846,0.5417
2022-11-01,46,8,16,3.2857,0.5833
2022-11-02,40,8,17,3.6364,0.4583
2022-11-03,62,17,21,4.7692,0.5417
2022-11-04,31,8,10,4.4286,0.2917
2022-11-05,77,14,23,5.1333,0.625
2022-11-06,57,12,14,4.75,0.5
2022-11-07,46,11,12,4.6,0.4167
2022-11-08,94,20,18,6.2667,0.625
2022-11-09,47,11,11,3.6154,0.5417
2022-11-10,43,8,14,3.3077,0.5417
2022-11-11,57,9,23,4.75,0.5
2022-11-12,39,11,14,4.875,0.3333
2022-11-13,29,6,3,3.2222,0.375
2022-11-14,34,6,4,4.25,0.3333
2022-11-15,50,11,13,3.3333,0.625
2022-11-16,46,10,17,3.8333,0.5
2022-11-17,37,6,20,3.3636,0.4583
2022-11-18,70,13,1,4.375,0.6667
2022-11-19,61,9,13,4.6923,0.5417
2022-11-20,39,6,15,3.5455,0.4583
2022-11-21,50,13,13,4.1667,0.5
2022-11-22,53,10,12,4.0769,0.5417
2022-11-23,43,6,11,3.5833,0.5
2022-11-24,49,10,12,3.7692,0.5417
2022-11-25,58,13,11,4.8333,0.5
2022-11-26,46,9,13,3.8333,0.5
2022-11-27,66,16,22,5.5,0.5
2022-11-28,37,11,12,2.8462,0.5417
2022-11-29,37,7,13,3.0833,0.5
2022-11-30,30,6,18,2.7273,0.4583
2022-12-01,33,7,3,3.6667,0.375
2022-12-02,39,10,11,4.3333,0.375
2022-12-03,48,8,2,3.6923,0.5417
2022-12-04,46,11,14,3.8333,0.5
2022-12-05,37,6,23,3.7,0.4167
2022-12-06,59,8,3,3.6875,0.6667
2022-12-07,51,7,2,3.4,0.625
2022-12-08,78,16,22,5.5714,0.5833
2022-12-09,38,15,4,4.75,0.3333
