timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2022-10-13,125,43,14,8.9286,0.5833
2022-10-14,132,44,20,7.3333,0.75
2022-10-15,562,345,21,35.125,0.6667
2022-10-16,65,17,20,5.9091,0.4583
2022-10-17,164,38,12,7.1304,0.9583
2022-10-18,68,11,19,5.2308,0.5417
2022-10-19,211,33,21,19.1818,0.4583
2022-10-20,269,101,16,26.9,0.4167
2022-10-21,109,14,12,6.0556,0.75
2022-10-22,125,18,20,5.4348,0.9583
2022-10-23,88,17,13,6.2857,0.5833
2022-10-24,121,13,13,5.0417,1.0
2022-10-25,152,47,18,10.1333,0.625
2022-10-26,82,23,11,4.8235,0.7083
2022-10-27,70,19,22,5.3846,0.5417
2022-10-28,116,30,10,7.7333,0.625
2022-10-29,70,16,15,5.3846,0.5417
2022-10-30,115,22,9,8.8462,0.5417
2022-10-31,111,10,18,4.8261,0.9583
2022-11-01,3,3,11,3.0,0.0417
2022-11-02,0,0,0,0.0,0.0
2022-11-03,2645,926,15,220.4167,0.5
2022-11-04,16,14,13,8.0,0.0833
2022-11-05,938,341,19,156.3333,0.25
2022-11-06,8443,3756,20,938.1111,0.375
2022-11-07,5894,2315,13,842.0,0.2917
2022-11-08,1750,759,12,350.0,0.2083
2022-11-09,2582,652,9,198.6154,0.5417
2022-11-10,2553,570,9,196.3846,0.5417
2022-11-11,2209,377,18,169.9231,0.5417
2022-11-12,2953,812,8,246.0833,0.5
2022-11-13,413,85,18,34.4167,0.5
2022-11-14,1594,471,10,132.8333,0.5
2022-11-15,2576,533,15,234.1818,0.4583
2022-11-16,2631,889,12,202.3846,0.5417
2022-11-17,3296,739,15,274.6667,0.5
2022-11-18,2998,438,20,249.8333,0.5
2022-11-19,3341,1023,9,278.4167,0.5
2022-11-20,1665,459,10,151.3636,0.4583
2022-11-21,2339,398,12,212.6364,0.4583
2022-11-22,2130,419,9,193.6364,0.4583
2022-11-23,2386,658,10,183.5385,0.5417
2022-11-24,2150,430,18,179.1667,0.5
2022-11-25,2443,523,9,244.3,0.4167
2022-11-26,1597,428,8,177.4444,0.375
2022-11-27,3445,749,9,287.0833,0.5
2022-11-28,2432,541,7,243.2,0.4167
2022-11-29,1498,224,9,115.2308,0.5417
2022-11-30,1683,311,9,210.375,0.3333
2022-12-01,0,0,0,0.0,0.0
2022-12-02,0,0,0,0.0,0.0
2022-12-03,0,0,0,0.0,0.0
2022-12-04,870,247,22,108.75,0.3333
2022-12-05,2400,565,8,218.1818,0.4583
2022-12-06,1732,333,11,133.2308,0.5417
2022-12-07,2184,425,9,168.0,0.5417
2022-12-08,4476,1317,17,344.3077,0.5417
2022-12-09,0,0,0,0.0,0.0
