timestamp,acceleration-count,acceleration-entropy,acceleration-kurtosis,acceleration-mean,acceleration-skew,acceleration-std,acceleration-sum
2022-10-13,8329.0,4.1018,234.6278,9.8014,8.6149,0.9848,81636.034
2022-10-14,11025.0,4.0611,64.583,9.8076,4.5834,0.5592,108128.2698
2022-10-15,5512.0,3.9983,822.7995,9.872,25.1784,2.0118,54414.6076
2022-10-16,6124.0,3.6886,175.4621,9.8152,7.1769,0.5122,60108.2654
2022-10-17,7309.0,3.8617,1226.8063,9.8132,23.9843,0.787,71724.9819
2022-10-18,3950.0,3.4298,112.976,9.7885,2.3123,0.4079,38664.4626
2022-10-19,19615.0,4.3013,116.8121,9.8001,5.8947,0.6798,192229.506
2022-10-20,38859.0,4.2596,95.3175,9.7981,2.7478,0.3565,380746.0296
2022-10-21,6713.0,3.8339,71.206,9.7835,3.8925,0.606,65676.5073
2022-10-22,9850.0,3.8772,217.0314,9.805,6.9874,0.5075,96579.6753
2022-10-23,13439.0,3.9153,127.9796,9.8045,5.9276,0.5055,131762.279
2022-10-24,7752.0,4.0627,179.0505,9.8219,7.5708,0.8353,76139.6086
2022-10-25,7370.0,4.0275,367.172,9.8629,14.116,0.9033,72689.753
2022-10-26,9409.0,3.9488,203.3233,9.7999,8.1528,0.6149,92207.69
2022-10-27,8523.0,3.74,454.7306,9.8171,12.5365,0.4649,83670.8591
2022-10-28,5116.0,3.9955,437.7137,9.7928,12.1061,0.8944,50100.0063
2022-10-29,4570.0,3.6752,105.1263,9.7614,4.4355,0.5526,44609.4926
2022-10-30,7373.0,3.7338,77.1693,9.8159,4.3991,0.4639,72372.8918
2022-10-31,8898.0,3.8757,729.8551,9.8312,18.2703,0.7021,87477.7025
2022-11-01,8299.0,3.5718,610.9602,9.8435,15.4639,0.1298,81691.3035
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-03,4517.0,3.742,90.7356,9.7923,6.348,0.7524,44231.9694
2022-11-04,2890.0,3.3945,441.2858,9.7661,10.6291,0.2006,28224.0834
2022-11-05,13536.0,4.0536,314.2036,9.7338,10.2646,0.3066,131756.2429
2022-11-06,4338.0,4.1142,48.5843,9.9864,4.3642,0.9831,43321.0659
2022-11-07,3670.0,4.0638,88.3718,9.9876,6.3781,1.1171,36654.5509
2022-11-08,2873.0,3.8062,109.0594,9.9296,6.977,0.7967,28527.6717
2022-11-09,7816.0,4.0567,1562.084,9.9269,29.4883,0.7948,77588.5006
2022-11-10,7021.0,4.1235,752.8078,9.9325,18.6123,0.9522,69735.9001
2022-11-11,4787.0,4.1207,240.5401,9.9329,11.0421,0.9328,47549.003
2022-11-12,6740.0,4.3027,59.7006,9.9459,4.2278,0.8164,67035.509
2022-11-13,6763.0,3.716,395.4503,9.8992,12.8066,0.2936,66948.4531
2022-11-14,7484.0,4.0462,678.1856,9.9173,18.1517,0.5392,74221.002
2022-11-15,6987.0,3.969,324.1682,9.9176,11.1888,0.5701,69294.4263
2022-11-16,4223.0,4.126,169.4662,9.9457,8.6587,0.9021,42000.7184
2022-11-17,4032.0,4.1741,47.1933,9.9532,3.7057,0.8016,40131.3634
2022-11-18,7612.0,4.169,164.0789,9.9312,8.0843,0.6115,75596.582
2022-11-19,7630.0,4.1356,130.0602,9.922,6.8922,0.5308,75704.8021
2022-11-20,7981.0,3.9988,118.929,9.9232,7.1095,0.4993,79196.6767
2022-11-21,7198.0,4.1605,113.2521,9.9323,6.4816,0.5762,71492.3506
2022-11-22,7342.0,4.0225,1424.4089,9.9118,27.3523,0.6126,72772.3836
2022-11-23,8160.0,4.141,920.208,9.9104,20.601,0.6364,80869.2682
2022-11-24,7404.0,4.1429,163.8536,9.9142,7.7313,0.6361,73404.4621
2022-11-25,6496.0,4.3714,179.3113,10.0156,10.4224,1.4338,65061.3694
2022-11-26,8558.0,3.9292,473.7356,9.9021,11.6131,0.4826,84742.3702
2022-11-27,8220.0,4.1403,211.0448,9.9221,9.1806,0.6068,81559.5395
2022-11-28,7590.0,4.0768,186.6926,9.9237,7.8832,0.6973,75320.8199
2022-11-29,7543.0,3.9948,131.6651,9.9005,4.9133,0.442,74679.6638
2022-11-30,4997.0,4.0814,100.54,9.9121,4.387,0.6506,49530.7461
2022-12-01,1461.0,2.8709,0.0279,9.9,0.0435,0.024,14463.9253
2022-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,2893.0,3.6195,100.1526,9.913,6.0794,0.4973,28678.4358
2022-12-05,8009.0,4.1,95.9269,9.9117,4.8094,0.4459,79382.5694
2022-12-06,5084.0,3.865,386.7555,9.9219,14.4596,0.8053,50442.7992
2022-12-07,7859.0,4.0472,586.3305,9.913,15.2586,0.5449,77905.891
2022-12-08,6983.0,4.2549,119.3111,9.9621,7.4242,0.9507,69565.1983
2022-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
