timestamp,position-count,position-duration,position-travelled-distance
2022-10-13,518.0,831.0,8.98
2022-10-14,0.0,0.0,0.0
2022-10-15,167.0,548.0,15.19
2022-10-16,230.0,1417.0,3.85
2022-10-17,278.0,1294.0,9.56
2022-10-18,64.0,574.0,2.84
2022-10-19,418.0,1041.0,17.29
2022-10-20,82.0,1186.0,3.44
2022-10-21,271.0,1040.0,8.82
2022-10-22,0.0,0.0,0.0
2022-10-23,0.0,0.0,0.0
2022-10-24,0.0,0.0,0.0
2022-10-25,0.0,0.0,0.0
2022-10-26,0.0,0.0,0.0
2022-10-27,6.0,12.0,2.8
2022-10-28,201.0,810.0,13.6
2022-10-29,0.0,0.0,0.0
2022-10-30,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-11-02,119.0,60.0,0.25
2022-11-03,38.0,1322.0,1.23
2022-11-04,0.0,0.0,0.0
2022-11-05,220.0,158.0,0.25
2022-11-06,62.0,36.0,2.93
2022-11-07,670.0,469.0,4.53
2022-11-08,262.0,736.0,5.29
2022-11-09,178.0,187.0,10.54
2022-11-10,26.0,297.0,7.8
2022-11-11,202.0,1008.0,15.37
2022-11-12,49.0,459.0,8.16
2022-11-13,0.0,0.0,0.0
2022-11-14,0.0,0.0,0.0
2022-11-15,0.0,0.0,0.0
2022-11-16,0.0,0.0,0.0
2022-11-17,27.0,38.0,3.93
2022-11-18,27.0,71.0,6.92
2022-11-19,35.0,54.0,4.04
2022-11-20,5.0,8.0,3.09
2022-11-21,0.0,0.0,0.0
2022-11-22,3.0,10.0,3.08
2022-11-23,189.0,194.0,7.24
2022-11-24,4.0,6.0,3.35
2022-11-25,287.0,996.0,25.59
2022-11-26,38.0,682.0,4.92
2022-11-27,6.0,13.0,3.16
2022-11-28,172.0,175.0,16.01
2022-11-29,1.0,0.0,2.69
2022-11-30,231.0,232.0,10.8
2022-12-01,65.0,74.0,15.3
2022-12-02,133.0,146.0,7.46
2022-12-03,129.0,1342.0,16.01
2022-12-04,0.0,0.0,0.0
2022-12-05,189.0,215.0,7.28
2022-12-06,0.0,0.0,0.0
2022-12-07,122.0,231.0,10.75
2022-12-08,40.0,855.0,18.15
2022-12-09,0.0,0.0,0.0
