timestamp,acceleration-count,acceleration-entropy,acceleration-kurtosis,acceleration-mean,acceleration-skew,acceleration-std,acceleration-sum
2024-10-22,8562.0,2.7145,86.9858,9.9084,1.2311,0.3666,84835.8345
2024-10-23,8632.0,4.2678,280.5674,9.8115,9.9736,0.5944,84693.0181
2024-10-24,8.0,1.0397,-0.1657,9.9541,-1.1047,0.1538,79.6329
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,3625.0,3.8807,50.7493,9.7823,1.9055,0.4563,35460.747
2024-10-31,7318.0,3.9142,217.9916,9.7866,9.6164,0.4107,71618.5343
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,987.0,3.0636,252.6955,9.7564,-12.1658,0.2132,9629.5405
2024-11-03,1620.0,2.89,0.0633,9.7773,-0.078,0.0218,15839.2947
2024-11-04,815.0,2.7197,5.6055,9.7497,0.8686,0.0249,7946.0195
2024-11-05,8594.0,4.1389,247.0578,9.7823,8.7776,0.3884,84069.2438
2024-11-06,8634.0,4.0446,371.1934,9.7741,9.2328,0.3233,84389.2689
2024-11-07,4912.0,2.8943,-0.543,9.828,-0.7643,0.0493,48275.294
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-11,1983.0,3.3614,181.8628,9.7471,2.1982,0.2262,19328.476
2024-11-12,8616.0,4.1378,155.0365,9.7967,7.0912,0.4775,84408.4127
2024-11-13,6643.0,3.9849,160.463,9.7817,5.3464,0.3923,64980.1296
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,2784.0,3.9378,107.5445,9.7801,4.8911,0.5091,27227.8577
2024-11-30,8638.0,3.4127,0.0877,9.7532,0.0109,0.0212,84248.282
2024-12-01,8616.0,4.0851,393.4755,9.7802,14.4968,0.481,84266.0137
2024-12-02,8618.0,4.4145,72.6746,9.8005,4.5002,0.5872,84460.4786
2024-12-03,8219.0,4.2999,97.772,9.8138,5.2036,0.6089,80659.2554
2024-12-04,8320.0,4.0476,556.5888,9.7828,14.3028,0.4182,81392.7315
2024-12-05,8376.0,4.2378,84.5647,9.7845,4.6544,0.4907,81955.2853
2024-12-06,8609.0,4.1996,99.7877,9.782,5.2116,0.3779,84213.6545
2024-12-07,8638.0,3.4147,5.4285,9.7496,0.4115,0.0216,84217.0809
2024-12-08,7577.0,4.0624,176.45,9.7784,7.0542,0.4525,74090.9048
2024-12-09,4705.0,3.878,38.1813,9.8515,2.5968,0.7445,46351.5421
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,3316.0,3.6186,105.9546,9.8499,5.553,0.6138,32662.131
2024-12-14,6771.0,4.0256,316.7671,9.7727,8.3687,0.3423,66170.8483
2024-12-15,2711.0,3.0397,303.4515,9.752,10.145,0.0264,26437.6824
2024-12-16,8609.0,4.2562,118.9474,9.8338,7.2285,0.7052,84659.1565
2024-12-17,8610.0,4.2305,78.9669,9.7875,3.0555,0.4419,84269.9651
2024-12-18,11467.0,4.3377,99.3895,9.7873,5.1862,0.4123,112231.4626
