timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2024-10-22,111.0,98.82,90.0,4.59
2024-10-23,102.0,94.29,73.0,6.92
2024-10-24,0.0,0.0,0.0,0.0
2024-10-25,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0,0.0
2024-10-30,106.0,97.47,92.0,3.24
2024-10-31,88.0,76.54,55.0,7.27
2024-11-01,0.0,0.0,0.0,0.0
2024-11-02,79.0,78.0,76.0,1.0
2024-11-03,0.0,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0,0.0
2024-11-05,101.0,93.17,84.0,4.68
2024-11-06,104.0,92.06,73.0,6.04
2024-11-07,0.0,0.0,0.0,0.0
2024-11-08,0.0,0.0,0.0,0.0
2024-11-09,0.0,0.0,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.0
2024-11-11,89.0,84.08,80.0,2.15
2024-11-12,97.0,81.77,55.0,8.9
2024-11-13,101.0,91.77,81.0,4.78
2024-11-14,0.0,0.0,0.0,0.0
2024-11-15,0.0,0.0,0.0,0.0
2024-11-16,0.0,0.0,0.0,0.0
2024-11-17,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0
2024-11-19,0.0,0.0,0.0,0.0
2024-11-20,0.0,0.0,0.0,0.0
2024-11-21,0.0,0.0,0.0,0.0
2024-11-22,0.0,0.0,0.0,0.0
2024-11-23,0.0,0.0,0.0,0.0
2024-11-24,0.0,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.0,0.0,0.0
2024-11-27,0.0,0.0,0.0,0.0
2024-11-28,0.0,0.0,0.0,0.0
2024-11-29,106.0,91.95,76.0,6.23
2024-11-30,0.0,0.0,0.0,0.0
2024-12-01,103.0,88.25,74.0,8.1
2024-12-02,110.0,93.19,46.0,10.08
2024-12-03,99.0,85.83,72.0,7.5
2024-12-04,100.0,81.74,55.0,7.53
2024-12-05,117.0,92.06,81.0,5.71
2024-12-06,97.0,85.85,72.0,6.27
2024-12-07,0.0,0.0,0.0,0.0
2024-12-08,98.0,87.7,75.0,5.89
2024-12-09,102.0,95.46,78.0,5.09
2024-12-10,0.0,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0
2024-12-13,128.0,81.23,69.0,9.76
2024-12-14,107.0,86.64,73.0,7.24
2024-12-15,0.0,0.0,0.0,0.0
2024-12-16,121.0,83.76,70.0,14.21
2024-12-17,118.0,85.19,55.0,10.89
2024-12-18,100.0,89.51,55.0,8.73
