timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2024-10-22,12,3,2,1.7143,0.2917
2024-10-23,32,6,9,2.9091,0.4583
2024-10-24,27,4,10,2.7,0.4167
2024-10-25,27,4,1,2.7,0.4167
2024-10-26,23,4,4,2.5556,0.375
2024-10-27,26,4,5,2.1667,0.5
2024-10-28,30,5,7,2.5,0.5
2024-10-29,16,5,11,2.2857,0.2917
2024-10-30,11,2,2,1.5714,0.2917
2024-10-31,7,2,8,1.4,0.2083
2024-11-01,17,4,10,2.8333,0.25
2024-11-02,10,2,6,1.25,0.3333
2024-11-03,8,3,9,1.6,0.2083
2024-11-04,14,2,5,1.2727,0.4583
2024-11-05,22,5,9,2.2,0.4167
2024-11-06,14,3,6,1.5556,0.375
2024-11-07,16,3,12,1.6,0.4167
2024-11-08,16,4,9,2.2857,0.2917
2024-11-09,15,3,8,1.6667,0.375
2024-11-10,12,3,11,1.5,0.3333
2024-11-11,13,2,1,1.3,0.4167
2024-11-12,21,4,3,2.1,0.4167
2024-11-13,21,5,12,1.9091,0.4583
2024-11-14,26,5,9,2.1667,0.5
2024-11-15,20,3,2,2.0,0.4167
2024-11-16,17,3,11,1.7,0.4167
2024-11-17,15,4,3,1.3636,0.4583
2024-11-18,19,4,3,2.1111,0.375
2024-11-19,14,3,7,1.75,0.3333
2024-11-20,6,3,8,2.0,0.125
2024-11-21,4,2,3,1.3333,0.125
2024-11-22,6,3,3,1.5,0.1667
2024-11-23,0,0,0,0.0,0.0
2024-11-24,0,0,0,0.0,0.0
2024-11-25,0,0,0,0.0,0.0
2024-11-26,8,2,6,1.3333,0.25
2024-11-27,20,3,8,1.8182,0.4583
2024-11-28,13,3,9,1.4444,0.375
2024-11-29,11,3,8,1.375,0.3333
2024-11-30,20,4,1,2.2222,0.375
2024-12-01,13,3,11,1.8571,0.2917
2024-12-02,15,3,12,1.5,0.4167
2024-12-03,22,5,11,2.0,0.4583
2024-12-04,21,4,10,2.1,0.4167
2024-12-05,20,3,9,1.8182,0.4583
2024-12-06,14,3,12,1.75,0.3333
2024-12-07,18,3,2,1.6364,0.4583
2024-12-08,11,4,8,1.5714,0.2917
2024-12-09,32,6,12,2.9091,0.4583
2024-12-10,19,4,8,1.9,0.4167
2024-12-11,25,4,2,2.2727,0.4583
2024-12-12,25,4,1,2.5,0.4167
2024-12-13,17,3,6,1.8889,0.375
2024-12-14,19,4,1,1.9,0.4167
2024-12-15,20,4,10,2.0,0.4167
2024-12-16,22,4,2,2.0,0.4583
2024-12-17,20,5,12,2.2222,0.375
2024-12-18,23,4,2,2.3,0.4167
