timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2024-10-24,117.0,70.85,53.0,13.02
2024-10-25,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0,0.0
2024-10-30,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0
2024-11-01,86.0,76.77,70.0,5.74
2024-11-02,122.0,73.66,58.0,15.95
2024-11-03,106.0,75.73,62.0,11.5
2024-11-04,86.0,69.57,61.0,6.53
2024-11-05,127.0,70.74,60.0,12.46
2024-11-06,120.0,68.59,55.0,10.2
2024-11-07,80.0,70.51,64.0,3.94
2024-11-08,0.0,0.0,0.0,0.0
2024-11-09,0.0,0.0,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0,0.0
2024-11-12,75.0,66.2,55.0,6.08
2024-11-13,126.0,72.32,54.0,16.02
2024-11-14,133.0,73.23,59.0,13.96
2024-11-15,84.0,68.83,60.0,5.43
2024-11-16,127.0,70.76,60.0,13.31
2024-11-17,120.0,70.61,57.0,12.97
2024-11-18,125.0,67.63,58.0,15.19
2024-11-19,84.0,66.44,55.0,7.38
2024-11-20,116.0,71.34,62.0,10.52
2024-11-21,115.0,67.1,57.0,11.97
2024-11-22,124.0,73.84,56.0,19.47
2024-11-23,115.0,72.32,58.0,17.16
2024-11-24,118.0,68.78,55.0,15.26
2024-11-25,119.0,73.59,55.0,19.73
2024-11-26,87.0,67.95,54.0,6.79
2024-11-27,117.0,65.4,55.0,14.5
2024-11-28,112.0,70.94,56.0,12.98
2024-11-29,79.0,67.93,61.0,5.11
2024-11-30,122.0,70.15,54.0,14.43
2024-12-01,103.0,70.87,61.0,9.92
2024-12-02,117.0,74.75,63.0,12.44
2024-12-03,79.0,65.2,58.0,4.36
2024-12-04,84.0,70.39,62.0,5.85
2024-12-05,0.0,0.0,0.0,0.0
2024-12-06,0.0,0.0,0.0,0.0
2024-12-07,0.0,0.0,0.0,0.0
2024-12-08,0.0,0.0,0.0,0.0
2024-12-09,85.0,63.86,57.0,6.42
2024-12-10,118.0,64.57,53.0,15.21
2024-12-11,115.0,66.21,54.0,16.64
2024-12-12,124.0,67.86,53.0,20.2
2024-12-13,87.0,59.29,51.0,8.96
2024-12-14,126.0,65.57,51.0,14.24
2024-12-15,122.0,65.03,50.0,16.27
2024-12-16,118.0,66.18,53.0,16.21
2024-12-17,131.0,72.31,53.0,16.85
2024-12-18,126.0,71.75,55.0,20.85
