timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2024-10-24,3,3,20,3.0,0.0417
2024-10-25,20,4,12,1.8182,0.4583
2024-10-26,28,4,14,2.0,0.5833
2024-10-27,26,5,8,1.8571,0.5833
2024-10-28,24,3,13,1.6,0.625
2024-10-29,23,3,10,1.7692,0.5417
2024-10-30,20,3,9,1.4286,0.5833
2024-10-31,22,3,8,1.8333,0.5
2024-11-01,22,3,9,1.375,0.6667
2024-11-02,20,5,13,1.5385,0.5417
2024-11-03,19,2,8,1.1875,0.6667
2024-11-04,18,3,12,1.3846,0.5417
2024-11-05,26,4,11,1.5294,0.7083
2024-11-06,25,3,15,1.4706,0.7083
2024-11-07,23,4,18,1.5333,0.625
2024-11-08,17,3,20,1.2143,0.5833
2024-11-09,27,4,12,1.9286,0.5833
2024-11-10,26,6,19,2.0,0.5417
2024-11-11,19,2,7,1.2667,0.625
2024-11-12,26,4,9,1.7333,0.625
2024-11-13,24,4,17,1.7143,0.5833
2024-11-14,17,3,13,1.4167,0.5
2024-11-15,21,3,19,1.6154,0.5417
2024-11-16,23,3,12,1.6429,0.5833
2024-11-17,42,5,10,2.2105,0.7917
2024-11-18,28,3,9,1.75,0.6667
2024-11-19,25,4,9,2.0833,0.5
2024-11-20,30,4,14,1.7647,0.7083
2024-11-21,31,4,19,1.7222,0.75
2024-11-22,25,3,8,1.4706,0.7083
2024-11-23,27,4,12,2.0769,0.5417
2024-11-24,21,4,14,1.75,0.5
2024-11-25,24,3,10,1.5,0.6667
2024-11-26,28,4,9,1.75,0.6667
2024-11-27,30,4,16,1.7647,0.7083
2024-11-28,25,4,8,1.9231,0.5417
2024-11-29,23,3,1,1.4375,0.6667
2024-11-30,31,6,13,1.8235,0.7083
2024-12-01,22,3,3,1.6923,0.5417
2024-12-02,27,3,13,1.5882,0.7083
2024-12-03,27,3,23,1.4211,0.7917
2024-12-04,31,4,11,2.0667,0.625
2024-12-05,26,3,13,1.5294,0.7083
2024-12-06,22,3,10,1.4667,0.625
2024-12-07,34,8,5,2.125,0.6667
2024-12-08,17,3,17,1.4167,0.5
2024-12-09,21,2,1,1.6154,0.5417
2024-12-10,30,5,16,1.875,0.6667
2024-12-11,22,5,15,2.4444,0.375
2024-12-12,12,3,14,1.7143,0.2917
2024-12-13,27,4,9,1.5882,0.7083
2024-12-14,29,3,10,1.6111,0.75
2024-12-15,12,2,9,1.2,0.4167
2024-12-16,25,4,16,1.9231,0.5417
2024-12-17,31,3,3,1.6316,0.7917
2024-12-18,26,5,19,2.0,0.5417
