timestamp,acceleration-count,acceleration-entropy,acceleration-kurtosis,acceleration-mean,acceleration-skew,acceleration-std,acceleration-sum
2024-02-22,7186.0,4.2558,464.3855,9.8754,14.4025,1.0526,70964.808
2024-02-23,7574.0,4.0764,925.1665,9.8097,19.0077,0.5211,74298.6652
2024-02-24,8259.0,4.1707,2687.4224,9.8057,40.1008,0.6746,80984.9201
2024-02-25,6471.0,3.7561,119.6173,9.7939,4.0082,0.4265,63376.3097
2024-02-26,7765.0,4.1981,245.1226,9.8084,9.2984,0.5651,76162.33
2024-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28,1551.0,3.5878,25.9134,9.8024,2.0876,0.4638,15203.5267
2024-02-29,8069.0,4.0262,86.4092,9.7972,2.3113,0.3382,79053.9246
2024-03-01,5422.0,3.7484,129.1335,9.7989,4.5941,0.3506,53129.5317
2024-03-02,6882.0,3.6995,5845.4655,9.8017,73.5742,0.8013,67455.2792
2024-03-03,6732.0,3.8354,82.3643,9.7943,3.3955,0.3378,65935.4288
2024-03-04,8572.0,4.0408,555.7635,9.7953,13.8428,0.3907,83965.1664
2024-03-05,7648.0,4.1738,85.8229,9.7939,3.5249,0.4646,74903.7188
2024-03-06,5734.0,3.9079,136.1623,9.8279,6.8567,0.5135,56353.0442
2024-03-07,4402.0,3.9204,157.6664,9.8048,7.4514,0.5016,43160.5566
2024-03-08,3657.0,3.7505,142.7964,9.8088,6.9395,0.374,35870.7846
2024-03-09,8286.0,4.1844,61.1442,9.8043,3.3526,0.4404,81238.6119
2024-03-10,8525.0,4.1294,79.5479,9.7979,1.7909,0.3579,83526.7041
2024-03-11,7992.0,4.2187,184.4717,9.807,6.1337,0.476,78377.9262
2024-03-12,8511.0,4.0208,409.1409,9.7982,12.9443,0.4564,83392.1516
2024-03-13,7268.0,4.0936,938.3194,9.8049,22.3272,0.5387,71261.8237
2024-03-14,7374.0,4.2308,230.9716,9.8025,8.5132,0.5691,72283.7249
2024-03-15,7335.0,4.1859,67.2552,9.7936,0.8822,0.3963,71836.4049
2024-03-16,3568.0,3.1308,2.0959,9.7872,-0.2385,0.0232,34920.8067
2024-03-17,2732.0,3.8581,54.9128,9.8581,4.3796,0.672,26932.2629
2024-03-18,7714.0,4.2633,76.2883,9.804,2.6657,0.509,75628.202
2024-03-19,8109.0,3.7759,143.3475,9.7974,3.1555,0.1838,79447.5094
2024-03-20,4682.0,3.7342,136.6555,9.8003,3.0051,0.2892,45885.1297
2024-03-21,7291.0,4.2534,59.134,9.816,3.5377,0.5804,71568.5782
2024-03-22,4994.0,3.8882,66.6827,9.8129,3.5571,0.4049,49005.3753
2024-03-23,6476.0,4.3039,287.6203,9.8293,10.4026,0.6633,63654.5959
2024-03-24,7594.0,4.2374,253.4465,9.8214,9.7086,0.5659,74583.4329
2024-03-25,6055.0,4.116,1017.8259,9.818,22.8479,0.7054,59448.1677
2024-03-26,7775.0,4.1991,233.7252,9.8111,9.122,0.5484,76281.1031
2024-03-27,4623.0,3.8424,237.6697,9.8093,6.5344,0.3602,45348.4007
2024-03-28,4302.0,4.0926,118.1576,9.8159,4.6425,0.6691,42227.957
2024-03-29,4717.0,3.7754,126.7424,9.8049,4.0751,0.3444,46249.7753
2024-03-30,4916.0,3.8222,80.3217,9.8034,3.2309,0.4126,48193.6984
2024-03-31,6305.0,4.1772,229.6333,9.8194,9.6636,0.59,61911.5466
2024-04-01,6427.0,4.1794,60.1084,9.8082,2.2781,0.5036,63037.1982
2024-04-02,1618.0,3.6982,30.2468,9.8259,1.3256,0.5667,15898.3655
2024-04-03,6012.0,3.8812,114.6986,9.8103,4.9421,0.3785,58979.6207
2024-04-04,6995.0,4.1436,90.262,9.8052,4.0127,0.4361,68587.1902
2024-04-05,7871.0,4.1476,163.7225,9.8293,7.181,0.5488,77366.3791
2024-04-06,8345.0,4.2198,90.4562,9.8104,3.053,0.4877,81867.996
2024-04-07,8551.0,3.9989,160.1055,9.7902,3.9077,0.3292,83716.0989
2024-04-08,6876.0,4.1508,317.8042,9.81,9.4602,0.4251,67453.6378
2024-04-09,5747.0,3.8418,144.1754,9.8201,7.4673,0.4893,56435.9241
2024-04-10,7307.0,4.2422,58.0872,9.8216,2.2952,0.5231,71766.4384
2024-04-11,8261.0,4.1963,87.0465,9.8024,4.0423,0.4465,80977.5665
2024-04-12,164.0,2.2094,5.942,9.8057,1.4883,0.0346,1608.1342
2024-04-13,4679.0,3.8497,1235.7074,9.8268,27.2133,0.5102,45979.4227
2024-04-14,7806.0,3.809,1003.1966,9.8042,23.9194,0.2939,76531.4826
2024-04-15,4520.0,3.8351,124.179,9.8266,5.268,0.4267,44416.2547
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
