timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2024-02-22,117.0,80.65,61.0,14.68
2024-02-23,127.0,81.37,64.0,17.64
2024-02-24,96.0,72.04,55.0,10.32
2024-02-25,98.0,72.12,62.0,9.02
2024-02-26,119.0,76.5,66.0,10.75
2024-02-27,0.0,0.0,0.0,0.0
2024-02-28,80.0,68.88,64.0,4.18
2024-02-29,121.0,76.32,55.0,13.96
2024-03-01,115.0,70.63,59.0,16.79
2024-03-02,120.0,81.15,63.0,14.77
2024-03-03,99.0,75.49,65.0,10.8
2024-03-04,130.0,77.48,61.0,12.88
2024-03-05,108.0,75.57,55.0,12.68
2024-03-06,102.0,70.76,60.0,8.89
2024-03-07,81.0,69.62,61.0,6.16
2024-03-08,77.0,72.03,66.0,3.19
2024-03-09,117.0,73.19,61.0,11.93
2024-03-10,113.0,75.93,61.0,13.75
2024-03-11,100.0,73.6,57.0,8.24
2024-03-12,103.0,75.14,55.0,11.47
2024-03-13,115.0,74.44,60.0,14.86
2024-03-14,119.0,82.48,66.0,15.92
2024-03-15,112.0,75.24,57.0,15.62
2024-03-16,0.0,0.0,0.0,0.0
2024-03-17,104.0,69.52,61.0,6.26
2024-03-18,120.0,79.85,50.0,15.63
2024-03-19,72.0,68.2,64.0,2.14
2024-03-20,110.0,68.09,55.0,9.64
2024-03-21,118.0,77.35,55.0,16.99
2024-03-22,123.0,85.09,66.0,20.74
2024-03-23,99.0,74.54,63.0,9.42
2024-03-24,118.0,75.56,55.0,9.52
2024-03-25,88.0,69.68,54.0,7.65
2024-03-26,116.0,73.9,62.0,10.69
2024-03-27,103.0,71.22,55.0,12.93
2024-03-28,125.0,77.74,55.0,18.63
2024-03-29,89.0,72.54,67.0,5.99
2024-03-30,104.0,78.21,53.0,13.07
2024-03-31,108.0,76.13,66.0,10.3
2024-04-01,117.0,78.4,61.0,13.7
2024-04-02,96.0,77.4,66.0,10.12
2024-04-03,128.0,83.55,62.0,24.49
2024-04-04,91.0,70.71,55.0,9.26
2024-04-05,117.0,81.71,55.0,20.08
2024-04-06,122.0,82.68,63.0,17.77
2024-04-07,117.0,72.42,60.0,14.7
2024-04-08,117.0,76.07,55.0,13.75
2024-04-09,116.0,82.03,66.0,12.91
2024-04-10,139.0,77.79,63.0,19.08
2024-04-11,102.0,69.34,61.0,9.57
2024-04-12,0.0,0.0,0.0,0.0
2024-04-13,118.0,71.93,59.0,14.55
2024-04-14,88.0,75.05,67.0,6.94
2024-04-15,93.0,71.32,61.0,9.91
2024-04-16,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0
