timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2024-02-22,2995,502,17,299.5,0.4167
2024-02-23,1056,239,8,105.6,0.4167
2024-02-24,1108,222,14,110.8,0.4167
2024-02-25,227,140,16,75.6667,0.125
2024-02-26,1036,227,9,115.1111,0.375
2024-02-27,0,0,0,0.0,0.0
2024-02-28,114,63,22,28.5,0.1667
2024-02-29,732,269,10,122.0,0.25
2024-03-01,597,269,10,149.25,0.1667
2024-03-02,207,159,12,51.75,0.1667
2024-03-03,733,306,12,146.6,0.2083
2024-03-04,684,305,14,85.5,0.3333
2024-03-05,1341,318,9,134.1,0.4167
2024-03-06,846,193,14,84.6,0.4167
2024-03-07,1394,658,10,348.5,0.1667
2024-03-08,371,245,9,92.75,0.1667
2024-03-09,1854,535,11,185.4,0.4167
2024-03-10,587,245,17,83.8571,0.2917
2024-03-11,676,154,16,84.5,0.3333
2024-03-12,1108,435,14,184.6667,0.25
2024-03-13,680,223,13,85.0,0.3333
2024-03-14,1134,342,17,141.75,0.3333
2024-03-15,870,215,12,87.0,0.4167
2024-03-16,1,1,9,1.0,0.0417
2024-03-17,626,280,10,104.3333,0.25
2024-03-18,1249,309,9,124.9,0.4167
2024-03-19,244,111,18,61.0,0.1667
2024-03-20,223,129,12,74.3333,0.125
2024-03-21,1796,979,16,179.6,0.4167
2024-03-22,638,299,12,159.5,0.1667
2024-03-23,2569,1489,16,285.4444,0.375
2024-03-24,625,233,12,78.125,0.3333
2024-03-25,731,184,10,81.2222,0.375
2024-03-26,591,164,10,65.6667,0.375
2024-03-27,227,80,9,56.75,0.1667
2024-03-28,1291,368,9,129.1,0.4167
2024-03-29,570,316,12,142.5,0.1667
2024-03-30,481,153,9,96.2,0.2083
2024-03-31,1304,360,13,163.0,0.3333
2024-04-01,1671,651,10,208.875,0.3333
2024-04-02,587,294,10,195.6667,0.125
2024-04-03,616,219,9,154.0,0.1667
2024-04-04,683,133,10,75.8889,0.375
2024-04-05,1857,498,12,232.125,0.3333
2024-04-06,922,323,17,102.4444,0.375
2024-04-07,872,575,15,109.0,0.3333
2024-04-08,881,290,18,97.8889,0.375
2024-04-09,1076,804,15,215.2,0.2083
2024-04-10,1499,308,10,149.9,0.4167
2024-04-11,1194,368,17,170.5714,0.2917
2024-04-12,0,0,0,0.0,0.0
2024-04-13,376,192,12,75.2,0.2083
2024-04-14,273,116,15,54.6,0.2083
2024-04-15,639,326,9,127.8,0.2083
2024-04-16,0,0,0,0.0,0.0
2024-04-17,0,0,0,0.0,0.0
2024-04-18,0,0,0,0.0,0.0
