timestamp,heartrate
2023-11-10 18:30:07.819,61
2023-11-10 18:30:08.804,62
2023-11-10 18:30:09.765,62
2023-11-10 18:30:10.680,62
2023-11-10 18:30:11.700,62
2023-11-10 18:30:12.669,62
2023-11-10 18:30:13.642,62
2023-11-10 18:30:14.599,63
2023-11-10 18:30:15.572,63
2023-11-10 18:30:16.496,63
2023-11-10 18:30:17.507,63
2023-11-10 18:30:18.482,64
2023-11-10 18:30:19.455,64
2023-11-10 18:30:20.417,64
2023-11-10 18:30:21.389,64
2023-11-10 18:30:22.302,64
2023-11-10 18:30:23.327,64
2023-11-10 19:00:02.435,61
2023-11-10 19:00:03.366,61
2023-11-10 19:00:04.372,61
2023-11-10 19:00:05.337,61
2023-11-10 19:00:06.314,62
2023-11-10 19:00:07.272,62
2023-11-10 19:00:08.238,62
2023-11-10 19:00:09.155,62
2023-11-10 19:00:10.168,62
2023-11-10 19:00:11.141,62
2023-11-10 19:00:12.108,61
2023-11-10 19:00:13.077,61
2023-11-10 19:00:14.037,61
2023-11-10 19:00:14.956,61
2023-11-10 19:00:15.969,61
2023-11-10 19:00:16.934,61
2023-11-10 19:00:17.897,61
2023-11-10 19:00:18.867,62
2023-11-10 19:00:19.830,62
2023-11-10 19:00:20.757,62
2023-11-10 19:00:21.772,62
2023-11-10 19:29:58.974,76
2023-11-10 19:29:59.948,76
2023-11-10 19:30:00.915,76
2023-11-10 19:30:01.896,74
2023-11-10 19:30:02.798,74
2023-11-10 19:30:03.825,72
2023-11-10 19:30:04.787,72
2023-11-10 19:30:05.763,71
2023-11-10 19:30:06.726,71
2023-11-10 19:30:07.689,72
2023-11-10 19:30:08.610,72
2023-11-10 19:30:09.623,71
2023-11-10 19:30:10.593,71
2023-11-10 19:30:11.562,70
2023-11-10 19:30:12.528,70
2023-11-10 19:30:13.505,70
2023-11-10 19:30:14.414,70
2023-11-10 19:30:15.439,70
2023-11-10 19:30:16.402,70
2023-11-10 19:30:17.376,70
2023-11-10 19:30:18.342,69
2023-11-10 19:30:19.307,70
2023-11-10 19:30:20.230,70
2023-11-10 19:30:21.239,69
2023-11-10 20:00:01.918,62
2023-11-10 20:00:02.842,62
2023-11-10 20:00:03.855,62
2023-11-10 20:00:04.820,62
2023-11-10 20:00:05.786,62
2023-11-10 20:00:06.760,61
2023-11-10 20:00:07.732,61
2023-11-10 20:00:08.636,61
2023-11-10 20:00:09.663,61
