timestamp,position-count,position-duration,position-travelled-distance
2023-09-01,1256.0,797.0,28.87
2023-09-02,256.0,962.0,3.37
2023-09-03,1175.0,1381.0,30.71
2023-09-04,588.0,763.0,12.29
2023-09-05,211.0,865.0,4.19
2023-09-06,207.0,808.0,4.04
2023-09-07,440.0,949.0,15.95
2023-09-08,904.0,461.0,12.91
2023-09-09,576.0,725.0,14.1
2023-09-10,9.0,4.0,0.34
2023-09-11,0.0,0.0,0.0
2023-09-12,0.0,0.0,0.0
2023-09-13,0.0,0.0,0.0
2023-09-14,30.0,37.0,3632.79
2023-09-15,0.0,0.0,0.0
2023-09-16,0.0,0.0,0.0
2023-09-17,0.0,0.0,0.0
2023-09-18,0.0,0.0,0.0
2023-09-19,0.0,0.0,0.0
2023-09-20,0.0,0.0,0.0
2023-09-21,0.0,0.0,0.0
2023-09-22,0.0,0.0,0.0
2023-09-23,3.0,5.0,3632.9
2023-09-24,0.0,0.0,0.0
2023-09-25,83.0,95.0,5.35
2023-09-26,42.0,400.0,9.74
2023-09-27,0.0,0.0,0.0
2023-09-28,0.0,0.0,0.0
2023-09-29,202.0,736.0,19.01
2023-09-30,687.0,1439.0,35.4
2023-10-01,622.0,945.0,28.85
2023-10-02,324.0,901.0,22.2
2023-10-03,901.0,931.0,55.59
2023-10-04,0.0,0.0,0.0
2023-10-05,0.0,0.0,0.0
2023-10-06,0.0,0.0,0.0
2023-10-07,0.0,0.0,0.0
2023-10-08,10.0,12.0,6.16
2023-10-09,0.0,0.0,0.0
2023-10-10,0.0,0.0,0.0
2023-10-11,129.0,573.0,8.64
2023-10-12,32.0,291.0,2.65
2023-10-13,1.0,0.0,0.05
2023-10-14,12.0,12.0,0.53
2023-10-15,155.0,759.0,17.12
2023-10-16,130.0,600.0,1.89
2023-10-17,54.0,53.0,160.85
2023-10-18,0.0,0.0,0.0
2023-10-19,0.0,0.0,0.0
2023-10-20,0.0,0.0,0.0
2023-10-21,0.0,0.0,0.0
2023-10-22,0.0,0.0,0.0
