timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2023-09-01,39,19,15,5.5714,0.2917
2023-09-02,47,17,15,3.9167,0.5
2023-09-03,55,10,18,3.4375,0.6667
2023-09-04,28,5,13,2.3333,0.5
2023-09-05,58,11,22,3.625,0.6667
2023-09-06,41,6,14,2.7333,0.625
2023-09-07,39,12,14,3.0,0.5417
2023-09-08,41,12,19,3.4167,0.5
2023-09-09,24,4,14,2.6667,0.375
2023-09-10,25,6,17,3.125,0.3333
2023-09-11,19,5,22,1.7273,0.4583
2023-09-12,10,4,19,2.0,0.2083
2023-09-13,40,11,18,3.3333,0.5
2023-09-14,0,0,0,0.0,0.0
2023-09-15,4,2,20,1.3333,0.125
2023-09-16,31,5,14,3.1,0.4167
2023-09-17,27,6,14,3.8571,0.2917
2023-09-18,21,5,11,2.3333,0.375
2023-09-19,59,20,13,3.9333,0.625
2023-09-20,29,7,17,2.9,0.4167
2023-09-21,17,5,2,2.4286,0.2917
2023-09-22,0,0,0,0.0,0.0
2023-09-23,14,6,21,2.8,0.2083
2023-09-24,57,15,20,3.8,0.625
2023-09-25,18,3,12,2.25,0.3333
2023-09-26,21,4,21,2.1,0.4167
2023-09-27,26,4,14,2.0,0.5417
2023-09-28,33,5,1,2.2,0.625
2023-09-29,33,10,16,3.0,0.4583
2023-09-30,43,7,21,3.0714,0.5833
2023-10-01,34,6,15,2.8333,0.5
2023-10-02,30,7,17,3.0,0.4167
2023-10-03,54,10,17,3.8571,0.5833
2023-10-04,32,8,15,3.5556,0.375
2023-10-05,14,5,10,3.5,0.1667
2023-10-06,0,0,0,0.0,0.0
2023-10-07,0,0,0,0.0,0.0
2023-10-08,0,0,0,0.0,0.0
2023-10-09,0,0,0,0.0,0.0
2023-10-10,61,18,17,3.8125,0.6667
2023-10-11,44,16,15,2.9333,0.625
2023-10-12,30,5,15,2.5,0.5
2023-10-13,55,14,22,3.6667,0.625
2023-10-14,20,11,0,5.0,0.1667
2023-10-15,35,5,13,2.6923,0.5417
2023-10-16,11,7,11,2.75,0.1667
2023-10-17,0,0,0,0.0,0.0
2023-10-18,0,0,0,0.0,0.0
2023-10-19,22,10,20,4.4,0.2083
2023-10-20,45,6,17,3.2143,0.5833
2023-10-21,128,22,21,8.0,0.6667
2023-10-22,60,14,16,5.0,0.5
2023-10-23,44,9,23,3.3846,0.5417
2023-10-24,61,13,1,5.0833,0.5
2023-10-25,38,6,16,2.9231,0.5417
2023-10-26,42,8,22,3.2308,0.5417
2023-10-27,63,10,23,4.2,0.625
