timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2023-04-06,100.0,85.0,55.0,7.49
2023-04-07,0.0,0.0,0.0,0.0
2023-04-08,101.0,85.43,67.0,8.94
2023-04-09,110.0,72.81,0.0,13.0
2023-04-10,107.0,73.46,60.0,9.22
2023-04-11,110.0,74.84,58.0,11.77
2023-04-12,94.0,72.08,57.0,9.33
2023-04-13,115.0,71.58,54.0,11.09
2023-04-14,111.0,77.4,55.0,9.45
2023-04-15,104.0,81.32,75.0,6.29
2023-04-16,91.0,67.06,53.0,7.75
2023-04-17,84.0,68.03,53.0,6.08
2023-04-18,102.0,75.95,56.0,10.76
2023-04-19,128.0,68.76,54.0,9.98
2023-04-20,114.0,77.98,59.0,12.53
2023-04-21,107.0,77.27,61.0,12.7
2023-04-22,115.0,74.42,54.0,15.05
2023-04-23,81.0,70.18,57.0,5.38
2023-04-24,87.0,69.17,55.0,5.98
2023-04-25,95.0,71.13,55.0,11.38
2023-04-26,122.0,67.96,54.0,11.12
2023-04-27,105.0,74.42,49.0,9.94
2023-04-28,86.0,69.81,60.0,5.58
2023-04-29,107.0,81.72,63.0,9.71
2023-04-30,68.0,63.01,54.0,3.23
2023-05-01,123.0,73.6,48.0,15.63
2023-05-02,102.0,76.65,60.0,9.32
2023-05-03,110.0,66.84,52.0,11.12
2023-05-04,91.0,67.86,54.0,9.0
2023-05-05,0.0,0.0,0.0,0.0
2023-05-06,115.0,69.65,56.0,13.31
2023-05-07,122.0,74.55,54.0,12.49
2023-05-08,83.0,66.95,58.0,4.57
2023-05-09,83.0,65.94,55.0,6.67
2023-05-10,120.0,68.71,56.0,10.85
2023-05-11,117.0,78.91,55.0,14.06
2023-05-12,82.0,68.86,58.0,5.3
2023-05-13,78.0,63.92,55.0,6.01
2023-05-14,96.0,67.23,56.0,7.7
2023-05-15,110.0,74.23,53.0,11.44
2023-05-16,86.0,71.03,60.0,7.22
2023-05-17,102.0,79.33,63.0,9.13
2023-05-18,120.0,79.59,52.0,16.16
2023-05-19,103.0,74.61,59.0,12.46
2023-05-20,88.0,69.14,58.0,7.37
2023-05-21,98.0,80.11,61.0,8.33
2023-05-22,110.0,70.58,62.0,10.07
2023-05-23,109.0,75.43,57.0,11.23
2023-05-24,98.0,78.93,55.0,8.33
2023-05-25,93.0,71.17,60.0,7.08
2023-05-26,113.0,74.02,59.0,8.08
2023-05-27,90.0,86.58,81.0,3.45
2023-05-28,93.0,83.3,73.0,4.95
2023-05-29,101.0,77.06,65.0,8.46
2023-05-30,102.0,75.08,63.0,8.69
2023-05-31,103.0,75.52,63.0,7.4
2023-06-01,88.0,76.86,62.0,7.31
