timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2023-04-06,1361,535,12,136.1,0.4167
2023-04-07,0,0,0,0.0,0.0
2023-04-08,1337,467,18,133.7,0.4167
2023-04-09,779,209,0,55.6429,0.5833
2023-04-10,1818,484,15,139.8462,0.5417
2023-04-11,1370,467,10,124.5455,0.4583
2023-04-12,1890,692,9,171.8182,0.4583
2023-04-13,1777,424,10,148.0833,0.5
2023-04-14,2347,643,11,180.5385,0.5417
2023-04-15,1503,537,17,214.7143,0.2917
2023-04-16,779,206,15,77.9,0.4167
2023-04-17,731,134,10,66.4545,0.4583
2023-04-18,2103,419,15,262.875,0.3333
2023-04-19,728,170,13,60.6667,0.5
2023-04-20,1834,415,11,152.8333,0.5
2023-04-21,1089,365,15,108.9,0.4167
2023-04-22,2067,681,16,187.9091,0.4583
2023-04-23,351,96,16,43.875,0.3333
2023-04-24,903,135,13,75.25,0.5
2023-04-25,2969,530,10,269.9091,0.4583
2023-04-26,778,181,8,77.8,0.4167
2023-04-27,3470,581,10,266.9231,0.5417
2023-04-28,2135,442,11,177.9167,0.5
2023-04-29,4344,1023,7,394.9091,0.4583
2023-04-30,227,127,22,45.4,0.2083
2023-05-01,1827,564,16,130.5,0.5833
2023-05-02,2214,970,9,201.2727,0.4583
2023-05-03,583,146,11,48.5833,0.5
2023-05-04,1200,210,10,100.0,0.5
2023-05-05,0,0,0,0.0,0.0
2023-05-06,1209,229,18,100.75,0.5
2023-05-07,1618,364,18,134.8333,0.5
2023-05-08,903,227,11,90.3,0.4167
2023-05-09,1112,273,12,111.2,0.4167
2023-05-10,1620,452,12,147.2727,0.4583
2023-05-11,3530,1096,11,294.1667,0.5
2023-05-12,3970,824,11,330.8333,0.5
2023-05-13,1176,245,17,147.0,0.3333
2023-05-14,887,228,16,88.7,0.4167
2023-05-15,3740,813,9,340.0,0.4583
2023-05-16,1260,207,18,105.0,0.5
2023-05-17,1368,291,14,136.8,0.4167
2023-05-18,3060,1099,11,255.0,0.5
2023-05-19,2877,592,15,261.5455,0.4583
2023-05-20,759,127,11,75.9,0.4167
2023-05-21,3008,969,14,231.3846,0.5417
2023-05-22,1035,141,20,86.25,0.5
2023-05-23,2495,494,10,207.9167,0.5
2023-05-24,3145,809,15,262.0833,0.5
2023-05-25,1913,513,11,239.125,0.3333
2023-05-26,2408,435,14,185.2308,0.5417
2023-05-27,76,76,23,76.0,0.0417
2023-05-28,778,196,13,70.7273,0.4583
2023-05-29,1330,311,17,120.9091,0.4583
2023-05-30,3980,1635,11,265.3333,0.625
2023-05-31,3805,1125,12,317.0833,0.5
2023-06-01,3851,1044,11,350.0909,0.4583
