timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2023-04-06,11,2,0,1.2222,0.375
2023-04-07,31,2,2,1.4091,0.9167
2023-04-08,27,2,10,1.35,0.8333
2023-04-09,27,2,5,1.2273,0.9167
2023-04-10,32,2,0,1.3913,0.9583
2023-04-11,28,2,0,1.4737,0.7917
2023-04-12,25,2,4,1.3158,0.7917
2023-04-13,24,2,3,1.2,0.8333
2023-04-14,27,2,2,1.35,0.8333
2023-04-15,25,2,2,1.3158,0.7917
2023-04-16,20,2,4,1.25,0.6667
2023-04-17,23,2,2,1.15,0.8333
2023-04-18,23,2,1,1.2778,0.75
2023-04-19,18,2,1,1.3846,0.5417
2023-04-20,28,2,2,1.4737,0.7917
2023-04-21,24,2,10,1.1429,0.875
2023-04-22,25,2,1,1.3158,0.7917
2023-04-23,24,2,2,1.2632,0.7917
2023-04-24,22,2,11,1.1579,0.7917
2023-04-25,22,2,10,1.2941,0.7083
2023-04-26,26,2,1,1.1818,0.9167
2023-04-27,22,2,10,1.2222,0.75
2023-04-28,26,2,3,1.1818,0.9167
2023-04-29,26,2,3,1.3684,0.7917
2023-04-30,27,2,3,1.4211,0.7917
2023-05-01,28,2,2,1.2727,0.9167
2023-05-02,24,2,10,1.2,0.8333
2023-05-03,22,2,12,1.2941,0.7083
2023-05-04,20,2,9,1.1111,0.75
2023-05-05,23,2,0,1.15,0.8333
2023-05-06,27,2,1,1.2857,0.875
2023-05-07,23,2,1,1.4375,0.6667
2023-05-08,20,2,7,1.25,0.6667
2023-05-09,20,2,2,1.25,0.6667
2023-05-10,26,2,1,1.1818,0.9167
2023-05-11,23,2,1,1.2778,0.75
2023-05-12,23,2,11,1.2105,0.7917
2023-05-13,26,2,4,1.1818,0.9167
2023-05-14,25,2,1,1.25,0.8333
2023-05-15,23,2,0,1.2778,0.75
2023-05-16,22,2,2,1.1579,0.7917
2023-05-17,21,2,14,1.1667,0.75
2023-05-18,25,2,0,1.3889,0.75
2023-05-19,23,2,2,1.3529,0.7083
2023-05-20,25,2,2,1.25,0.8333
2023-05-21,19,2,2,1.1875,0.6667
2023-05-22,22,2,1,1.2222,0.75
2023-05-23,23,2,0,1.4375,0.6667
2023-05-24,23,2,3,1.2105,0.7917
2023-05-25,25,2,1,1.3889,0.75
2023-05-26,20,2,2,1.3333,0.625
2023-05-27,22,2,2,1.2941,0.7083
2023-05-28,22,2,3,1.2222,0.75
2023-05-29,22,2,10,1.1579,0.7917
2023-05-30,28,2,1,1.2727,0.9167
2023-05-31,21,2,3,1.3125,0.6667
2023-06-01,23,2,1,1.2778,0.75
