timestamp,position-count,position-duration,position-travelled-distance
2023-04-06,264.0,499.0,43.72
2023-04-07,0.0,0.0,0.0
2023-04-08,147.0,38.0,3.32
2023-04-09,72.0,25.0,7.08
2023-04-10,0.0,0.0,0.0
2023-04-11,96.0,102.0,12.49
2023-04-12,62.0,61.0,8.55
2023-04-13,125.0,131.0,11.11
2023-04-14,0.0,0.0,0.0
2023-04-15,53.0,57.0,7.42
2023-04-16,24.0,23.0,18.05
2023-04-17,0.0,0.0,0.0
2023-04-18,86.0,86.0,10.38
2023-04-19,0.0,0.0,0.0
2023-04-20,88.0,87.0,10.02
2023-04-21,0.0,0.0,0.0
2023-04-22,0.0,0.0,0.0
2023-04-23,76.0,101.0,7.49
2023-04-24,0.0,0.0,0.0
2023-04-25,0.0,0.0,0.0
2023-04-26,0.0,0.0,0.0
2023-04-27,178.0,764.0,17.89
2023-04-28,0.0,0.0,0.0
2023-04-29,0.0,0.0,0.0
2023-04-30,64.0,92.0,7.08
2023-05-01,0.0,0.0,0.0
2023-05-02,0.0,0.0,0.0
2023-05-03,0.0,0.0,0.0
2023-05-04,64.0,83.0,8.78
2023-05-05,134.0,145.0,11.7
2023-05-06,0.0,0.0,0.0
2023-05-07,0.0,0.0,0.0
2023-05-08,21.0,23.0,7.32
2023-05-09,0.0,0.0,0.0
2023-05-10,99.0,104.0,9.46
2023-05-11,80.0,79.0,10.02
2023-05-12,46.0,75.0,8.9
2023-05-13,0.0,0.0,0.0
2023-05-14,0.0,0.0,0.0
2023-05-15,164.0,417.0,13.67
2023-05-16,0.0,0.0,0.0
2023-05-17,0.0,0.0,0.0
2023-05-18,79.0,85.0,10.43
2023-05-19,0.0,0.0,0.0
2023-05-20,0.0,0.0,0.0
2023-05-21,32.0,32.0,10.41
2023-05-22,0.0,0.0,0.0
2023-05-23,58.0,64.0,5.68
2023-05-24,0.0,0.0,0.0
2023-05-25,202.0,796.0,20.27
2023-05-26,56.0,58.0,9.22
2023-05-27,42.0,40.0,7.33
2023-05-28,78.0,1238.0,31.75
2023-05-29,0.0,0.0,0.0
2023-05-30,144.0,150.0,13.24
2023-05-31,66.0,91.0,6.19
2023-06-01,179.0,497.0,26.47
