timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2022-03-28,409,106,21,37.1818,0.4583
2022-03-29,694,252,12,57.8333,0.5
2022-03-30,539,123,19,41.4615,0.5417
2022-03-31,415,106,13,34.5833,0.5
2022-04-01,447,185,8,63.8571,0.2917
2022-04-02,0,0,0,0.0,0.0
2022-04-03,530,288,22,106.0,0.2083
2022-04-04,686,176,11,76.2222,0.375
2022-04-05,329,84,13,27.4167,0.5
2022-04-06,621,153,20,56.4545,0.4583
2022-04-07,438,91,18,39.8182,0.4583
2022-04-08,626,230,10,78.25,0.3333
2022-04-09,525,91,11,43.75,0.5
2022-04-10,458,161,12,45.8,0.4167
2022-04-11,408,72,13,37.0909,0.4583
2022-04-12,853,363,11,60.9286,0.5833
2022-04-13,593,207,14,59.3,0.4167
2022-04-14,590,125,18,49.1667,0.5
2022-04-15,811,177,8,47.7059,0.7083
2022-04-16,370,148,16,33.6364,0.4583
2022-04-17,442,86,20,36.8333,0.5
2022-04-18,468,164,21,42.5455,0.4583
2022-04-19,306,59,13,30.6,0.4167
2022-04-20,964,504,11,96.4,0.4167
2022-04-21,608,223,14,60.8,0.4167
2022-04-22,785,227,10,65.4167,0.5
2022-04-23,382,95,17,42.4444,0.375
2022-04-24,377,101,14,47.125,0.3333
2022-04-25,171,60,11,21.375,0.3333
2022-04-26,317,75,18,39.625,0.3333
2022-04-27,758,136,10,54.1429,0.5833
2022-04-28,469,108,12,33.5,0.5833
2022-04-29,517,186,13,47.0,0.4583
2022-04-30,423,90,11,47.0,0.375
2022-05-01,610,128,20,46.9231,0.5417
2022-05-02,592,116,17,59.2,0.4167
2022-05-03,555,207,9,61.6667,0.375
2022-05-04,752,269,10,68.3636,0.4583
2022-05-05,573,101,13,52.0909,0.4583
2022-05-06,402,196,11,44.6667,0.375
2022-05-07,719,171,20,51.3571,0.5833
2022-05-08,607,110,19,46.6923,0.5417
2022-05-09,690,150,10,46.0,0.625
2022-05-10,691,152,20,53.1538,0.5417
2022-05-11,585,78,20,39.0,0.625
2022-05-12,652,200,12,46.5714,0.5833
2022-05-13,405,99,11,45.0,0.375
2022-05-14,211,58,10,19.1818,0.4583
2022-05-15,676,178,17,52.0,0.5417
2022-05-16,449,86,12,34.5385,0.5417
2022-05-17,269,201,13,44.8333,0.25
2022-05-18,980,210,10,61.25,0.6667
2022-05-19,523,153,13,47.5455,0.4583
2022-05-20,456,256,10,45.6,0.4167
2022-05-21,259,111,23,28.7778,0.375
2022-05-22,514,88,12,46.7273,0.4583
2022-05-23,883,179,17,67.9231,0.5417
2022-05-24,547,94,15,45.5833,0.5
2022-05-25,749,279,12,68.0909,0.4583
