timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2022-03-28,82,16,14,5.8571,0.5833
2022-03-29,100,18,16,6.25,0.6667
2022-03-30,90,14,19,5.2941,0.7083
2022-03-31,82,16,18,5.125,0.6667
2022-04-01,102,18,21,5.6667,0.75
2022-04-02,42,10,19,3.0,0.5833
2022-04-03,108,24,21,6.0,0.75
2022-04-04,125,15,19,7.8125,0.6667
2022-04-05,127,21,9,8.4667,0.625
2022-04-06,91,12,20,5.3529,0.7083
2022-04-07,98,13,22,5.4444,0.75
2022-04-08,166,35,16,8.7368,0.7917
2022-04-09,186,23,13,10.9412,0.7083
2022-04-10,50,7,3,3.125,0.6667
2022-04-11,48,9,11,3.2,0.625
2022-04-12,60,8,5,4.0,0.625
2022-04-13,56,19,18,4.0,0.5833
2022-04-14,13,8,11,3.25,0.1667
2022-04-15,0,0,0,0.0,0.0
2022-04-16,0,0,0,0.0,0.0
2022-04-17,0,0,0,0.0,0.0
