timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2022-03-28,87.0,65.68,58.0,5.87
2022-03-29,114.0,70.63,58.0,13.02
2022-03-30,122.0,67.58,58.0,13.61
2022-03-31,110.0,67.44,58.0,9.25
2022-04-01,107.0,69.46,53.0,15.01
2022-04-02,0.0,0.0,0.0,0.0
2022-04-03,77.0,64.24,55.0,4.62
2022-04-04,124.0,67.58,56.0,14.09
2022-04-05,123.0,68.46,57.0,10.4
2022-04-06,75.0,64.18,57.0,3.88
2022-04-07,134.0,71.4,54.0,20.48
2022-04-08,143.0,78.07,60.0,21.77
2022-04-09,117.0,68.97,56.0,9.59
2022-04-10,78.0,61.77,54.0,6.66
2022-04-11,125.0,70.94,57.0,14.48
2022-04-12,108.0,70.06,57.0,7.66
2022-04-13,84.0,69.34,55.0,7.23
2022-04-14,110.0,68.64,61.0,8.48
2022-04-15,119.0,72.18,55.0,14.56
2022-04-16,122.0,72.58,58.0,15.05
2022-04-17,82.0,67.2,58.0,5.78
2022-04-18,118.0,66.49,58.0,10.31
2022-04-19,73.0,63.53,59.0,3.33
2022-04-20,109.0,73.77,57.0,11.77
2022-04-21,81.0,67.27,56.0,6.2
2022-04-22,80.0,68.25,58.0,5.76
2022-04-23,111.0,67.61,57.0,15.63
2022-04-24,121.0,70.95,50.0,22.08
2022-04-25,122.0,75.93,56.0,22.8
2022-04-26,78.0,67.34,61.0,5.47
2022-04-27,89.0,69.06,56.0,7.65
2022-04-28,113.0,69.19,55.0,15.13
2022-04-29,133.0,68.94,56.0,12.86
2022-04-30,123.0,78.92,58.0,17.1
2022-05-01,118.0,69.63,53.0,10.16
2022-05-02,105.0,74.75,64.0,9.08
2022-05-03,116.0,74.15,59.0,15.65
2022-05-04,123.0,76.06,60.0,13.25
2022-05-05,130.0,72.5,60.0,14.05
2022-05-06,118.0,77.87,58.0,17.5
2022-05-07,76.0,62.73,54.0,4.77
2022-05-08,79.0,67.89,61.0,3.74
2022-05-09,99.0,72.4,60.0,8.72
2022-05-10,117.0,72.12,59.0,12.2
2022-05-11,121.0,72.34,58.0,13.19
2022-05-12,83.0,70.11,62.0,5.41
2022-05-13,119.0,70.56,56.0,14.48
2022-05-14,120.0,66.16,54.0,15.31
2022-05-15,84.0,70.88,60.0,7.05
2022-05-16,89.0,70.58,60.0,7.44
2022-05-17,92.0,69.69,57.0,11.54
2022-05-18,82.0,65.48,57.0,4.46
2022-05-19,124.0,70.24,58.0,15.34
2022-05-20,81.0,68.73,60.0,5.16
2022-05-21,74.0,63.13,54.0,4.08
2022-05-22,75.0,62.45,54.0,5.77
2022-05-23,124.0,65.79,53.0,14.01
2022-05-24,136.0,72.76,58.0,18.81
2022-05-25,83.0,66.82,57.0,6.82
