timestamp,position-count,position-duration,position-travelled-distance
2023-11-10,28.0,9.0,3.22
2023-11-11,1.0,0.0,3.1
2023-11-12,0.0,0.0,0.0
2023-11-13,0.0,0.0,0.0
2023-11-14,6.0,4.0,3.19
2023-11-15,0.0,0.0,0.0
2023-11-16,0.0,0.0,0.0
2023-11-17,25.0,269.0,3.16
2023-11-18,0.0,0.0,0.0
2023-11-19,0.0,0.0,0.0
2023-11-20,0.0,0.0,0.0
2023-11-21,0.0,0.0,0.0
2023-11-22,0.0,0.0,0.0
2023-11-23,0.0,0.0,0.0
2023-11-24,0.0,0.0,0.0
2023-11-25,0.0,0.0,0.0
2023-11-26,1.0,0.0,3.09
2023-11-27,0.0,0.0,0.0
2023-11-28,0.0,0.0,0.0
2023-11-29,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2023-12-02,0.0,0.0,0.0
2023-12-03,12.0,11.0,3.24
2023-12-04,0.0,0.0,0.0
2023-12-05,0.0,0.0,0.0
2023-12-06,0.0,0.0,0.0
2023-12-07,0.0,0.0,0.0
2023-12-08,556.0,580.0,6.92
2023-12-09,8.0,6.0,3.26
2023-12-10,0.0,0.0,0.0
2023-12-11,0.0,0.0,0.0
2023-12-12,21.0,6.0,3.17
2023-12-13,0.0,0.0,0.0
2023-12-14,2.0,1.0,3.12
2023-12-15,96.0,615.0,7.13
2023-12-16,0.0,0.0,0.0
2023-12-17,0.0,0.0,0.0
2023-12-18,1.0,0.0,3.11
2023-12-19,226.0,852.0,7.73
2023-12-20,40.0,630.0,3.23
2023-12-21,373.0,97.0,4.55
2023-12-22,30.0,5.0,3.18
2023-12-23,0.0,0.0,0.0
2023-12-24,37.0,1320.0,3.24
2023-12-25,16.0,1.0,3.14
2023-12-26,104.0,10.0,3.21
2023-12-27,0.0,0.0,0.0
2023-12-28,1.0,0.0,3.12
2023-12-29,36.0,37.0,6.68
2023-12-30,0.0,0.0,0.0
2023-12-31,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0
