timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2023-11-10,487,225,15,81.1667,0.25
2023-11-11,321,120,8,64.2,0.2083
2023-11-12,45,40,12,22.5,0.0833
2023-11-13,587,162,20,65.2222,0.375
2023-11-14,1394,547,10,154.8889,0.375
2023-11-15,897,267,16,99.6667,0.375
2023-11-16,0,0,0,0.0,0.0
2023-11-17,364,261,17,121.3333,0.125
2023-11-18,161,78,11,53.6667,0.125
2023-11-19,242,95,17,48.4,0.2083
2023-11-20,248,161,12,62.0,0.1667
2023-11-21,720,282,11,102.8571,0.2917
2023-11-22,1919,808,15,213.2222,0.375
2023-11-23,903,272,14,180.6,0.2083
2023-11-24,621,125,15,69.0,0.375
2023-11-25,404,128,10,67.3333,0.25
2023-11-26,786,409,19,87.3333,0.375
2023-11-27,1310,301,9,131.0,0.4167
2023-11-28,924,413,11,184.8,0.2083
2023-11-29,2374,632,11,237.4,0.4167
2023-11-30,877,315,13,87.7,0.4167
2023-12-01,1298,268,12,144.2222,0.375
2023-12-02,137,99,23,68.5,0.0833
2023-12-03,2036,770,13,169.6667,0.5
2023-12-04,1802,526,15,200.2222,0.375
2023-12-05,765,376,12,95.625,0.3333
2023-12-06,1035,432,15,115.0,0.375
2023-12-07,0,0,0,0.0,0.0
2023-12-08,668,468,14,222.6667,0.125
2023-12-09,1151,384,13,191.8333,0.25
2023-12-10,1403,358,15,175.375,0.3333
2023-12-11,306,176,14,102.0,0.125
2023-12-12,1285,556,13,214.1667,0.25
2023-12-13,1973,469,12,246.625,0.3333
2023-12-14,718,235,12,119.6667,0.25
2023-12-15,0,0,0,0.0,0.0
2023-12-16,182,84,12,45.5,0.1667
2023-12-17,1244,450,13,124.4,0.4167
2023-12-18,683,367,12,62.0909,0.4583
2023-12-19,1644,396,13,164.4,0.4167
2023-12-20,842,291,15,120.2857,0.2917
2023-12-21,968,480,20,107.5556,0.375
2023-12-22,897,340,11,224.25,0.1667
2023-12-23,1326,294,17,147.3333,0.375
2023-12-24,745,374,12,186.25,0.1667
2023-12-25,1057,733,13,264.25,0.1667
2023-12-26,0,0,0,0.0,0.0
2023-12-27,1663,712,13,184.7778,0.375
2023-12-28,131,61,20,32.75,0.1667
2023-12-29,943,441,10,188.6,0.2083
2023-12-30,541,208,14,67.625,0.3333
2023-12-31,463,232,17,115.75,0.1667
2024-01-01,0,0,0,0.0,0.0
2024-01-02,823,317,14,205.75,0.1667
2024-01-03,549,305,12,137.25,0.1667
2024-01-04,0,0,0,0.0,0.0
