timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2023-11-10,105.0,69.85,61.0,10.65
2023-11-11,113.0,67.81,56.0,15.63
2023-11-12,121.0,67.73,55.0,20.33
2023-11-13,110.0,70.52,62.0,4.63
2023-11-14,126.0,78.53,61.0,18.04
2023-11-15,117.0,71.47,60.0,11.52
2023-11-16,0.0,0.0,0.0,0.0
2023-11-17,75.0,68.6,63.0,2.79
2023-11-18,96.0,69.92,60.0,9.96
2023-11-19,78.0,70.61,67.0,2.99
2023-11-20,78.0,71.08,65.0,3.8
2023-11-21,77.0,72.16,67.0,2.2
2023-11-22,91.0,73.76,61.0,6.77
2023-11-23,123.0,70.57,60.0,14.84
2023-11-24,111.0,74.46,55.0,9.26
2023-11-25,78.0,66.98,57.0,6.26
2023-11-26,105.0,80.1,65.0,9.97
2023-11-27,81.0,69.57,60.0,5.36
2023-11-28,93.0,78.7,69.0,7.32
2023-11-29,117.0,79.54,63.0,13.97
2023-11-30,109.0,77.58,61.0,9.05
2023-12-01,99.0,73.25,64.0,8.76
2023-12-02,125.0,89.64,69.0,23.92
2023-12-03,105.0,77.09,67.0,8.56
2023-12-04,116.0,71.49,55.0,11.58
2023-12-05,79.0,71.02,63.0,3.96
2023-12-06,71.0,65.29,58.0,2.79
2023-12-07,0.0,0.0,0.0,0.0
2023-12-08,73.0,67.75,64.0,1.92
2023-12-09,84.0,69.4,60.0,7.46
2023-12-10,82.0,70.77,59.0,5.74
2023-12-11,123.0,70.46,59.0,15.58
2023-12-12,114.0,73.7,59.0,13.01
2023-12-13,117.0,74.75,61.0,15.57
2023-12-14,88.0,65.4,55.0,8.99
2023-12-15,0.0,0.0,0.0,0.0
2023-12-16,79.0,69.85,65.0,4.07
2023-12-17,133.0,70.41,59.0,16.18
2023-12-18,82.0,67.22,60.0,5.05
2023-12-19,120.0,73.11,56.0,15.35
2023-12-20,78.0,65.89,56.0,6.64
2023-12-21,116.0,73.09,60.0,13.51
2023-12-22,75.0,70.21,64.0,3.2
2023-12-23,109.0,74.01,59.0,8.84
2023-12-24,95.0,77.8,66.0,9.94
2023-12-25,83.0,68.71,61.0,5.63
2023-12-26,0.0,0.0,0.0,0.0
2023-12-27,116.0,67.76,57.0,12.81
2023-12-28,81.0,73.38,64.0,6.05
2023-12-29,89.0,71.08,64.0,7.06
2023-12-30,129.0,65.78,55.0,13.66
2023-12-31,70.0,61.94,57.0,3.9
2024-01-01,0.0,0.0,0.0,0.0
2024-01-02,70.0,60.88,56.0,4.58
2024-01-03,79.0,68.76,62.0,5.55
2024-01-04,0.0,0.0,0.0,0.0
